ra,dec,period,Vmag,e_Vmag,Icmag,e_Icmag,E(B-V),source,main category,class,V-Ic,e_V-Ic,bmag,e_bmag,rmag,e_rmag,imag,e_imag,period_fo,vamp,e_vamp,bamp,err_ampb,ramp,e_ramp,iamp,e_iamp,vamp_sec,e_vamp_sec,bamp_sec,e_bamp_sec,gmag,bpmag,rpmag,bp-rp
40.286667,-34.130889,0.512813,21.434,0.071,,,,Braga,RRLyrae,,,,21.675,0.038,21.162,0.136,21.159,0.058,0.375159,0.42,0.07,0.58,0.06,,,,,,,0.37,0.05,,,,
40.2885,-34.306667,0.495735,21.358,0.07,,,,Braga,RRLyrae,,,,21.632,0.036,21.163,0.23,20.944,0.148,0.36918643,0.45,0.07,0.49,0.04,,,,,0.26,0.07,0.33,0.04,,,,
40.295333,-34.320194,0.48870072,21.387,0.071,,,,Braga,RRLyrae,,,,21.691,0.038,21.134,0.05,20.953,0.139,0.36504705,0.4,0.07,0.46,0.05,0.54,0.15,,,,,0.28,0.03,,,,
40.315708,-34.113111,0.532656,21.272,0.062,,,,Braga,RRLyrae,,,,21.619,0.035,21.225,0.045,21.009,0.049,0.408479,0.41,0.06,0.51,0.04,,,,,0.19,0.06,0.26,0.03,,,,
40.322208,-34.040861,0.54860859,21.303,0.061,,,,Braga,RRLyrae,,,,21.627,0.035,21.331,0.029,21.011,0.094,0.39456124,0.5,0.06,0.61,0.05,,,,,,,,,,,,
40.381167,-34.518889,0.498909,21.473,0.073,,,,Braga,RRLyrae,,,,21.724,0.065,21.19,0.139,21.094,0.025,0.364732,0.56,0.07,0.71,0.08,,,,,0.37,0.06,0.44,0.05,,,,
40.381375,-34.575,0.56570305,21.311,0.067,,,,Braga,RRLyrae,,,,21.592,0.058,21.196,0.099,20.96,0.033,0.421108,0.55,0.07,0.58,0.08,,,,,,,0.41,0.04,,,,
39.6665,-34.369444,0.525393,21.371,0.025,,,,Braga,RRLyrae,,,,21.668,0.025,21.166,0.046,20.981,0.063,0.39112,0.45,0.04,0.52,0.04,0.34,0.06,,,0.19,0.03,0.28,0.03,,,,
39.68525,-34.411083,0.542012,21.369,0.024,,,,Braga,RRLyrae,,,,21.693,0.023,21.128,0.039,20.869,0.114,0.404844,0.25,0.03,0.35,0.03,0.23,0.05,,,0.16,0.02,0.23,0.02,,,,
39.691458,-34.447444,0.535505,21.408,0.029,,,,Braga,RRLyrae,,,,21.698,0.025,21.142,0.045,20.969,0.086,0.399086,0.52,0.05,0.59,0.04,0.31,0.06,,,0.29,0.03,0.39,0.03,,,,
39.712083,-34.363028,0.55496,21.399,0.037,,,,Braga,RRLyrae,,,,21.708,0.025,21.179,0.045,20.996,0.085,0.413713,0.37,0.04,0.44,0.03,0.24,0.05,,,0.28,0.04,0.33,0.03,,,,
39.714042,-34.580944,0.518103,21.453,0.041,,,,Braga,RRLyrae,,,,21.693,0.024,21.172,0.045,20.978,0.065,0.386494,0.39,0.05,0.57,0.04,0.34,0.06,,,0.31,0.05,0.3,0.03,,,,
39.715083,-34.699333,0.484608,21.382,0.046,,,,Braga,RRLyrae,,,,21.739,0.03,21.29,0.017,21.005,0.089,0.360833,0.54,0.05,0.57,0.04,0.41,0.05,,,0.28,0.05,0.37,0.03,,,,
39.722375,-34.571778,0.52188577,21.341,0.045,,,,Braga,RRLyrae,,,,21.705,0.036,21.117,0.144,20.845,0.092,0.38912207,0.35,0.04,0.55,0.05,,,,,0.27,0.03,0.28,0.04,,,,
39.723708,-34.448583,0.54496,21.38,0.049,,,,Braga,RRLyrae,,,,21.738,0.029,21.088,0.039,20.806,0.106,0.406546,0.42,0.06,0.46,0.04,0.4,0.07,,,0.25,0.05,0.24,0.03,,,,
39.732875,-34.246667,0.497269,21.382,0.048,,,,Braga,RRLyrae,,,,21.759,0.028,21.313,0.049,21.047,0.122,0.370655,0.52,0.04,0.4,0.03,0.25,0.08,,,0.35,0.06,0.46,0.04,,,,
39.734375,-34.584806,0.54408131,21.289,0.037,,,,Braga,RRLyrae,,,,21.562,0.024,21.064,0.043,20.804,0.04,0.405972,0.46,0.04,0.63,0.04,0.4,0.07,,,0.18,0.04,0.28,0.03,,,,
39.745792,-34.257528,0.526023,21.366,0.042,,,,Braga,RRLyrae,,,,21.646,0.024,21.14,0.15,20.964,0.098,0.391799,0.38,0.04,0.49,0.03,,,,,0.18,0.04,0.29,0.03,,,,
39.56475,-34.656333,0.540951,21.31,0.021,,,,Braga,RRLyrae,,,,21.575,0.026,20.992,0.037,,,0.406301,0.32,0.03,0.5,0.04,,,,,,,0.3,0.03,,,,
39.576542,-34.71125,0.41139512,21.342,0.021,,,,Braga,RRLyrae,,,,21.637,0.023,21.045,0.006,21.036,0.229,0.361362,0.62,0.06,0.72,0.05,,,,,,,0.22,0.03,,,,
39.577917,-34.492528,0.62511173,21.34,0.02,,,,Braga,RRLyrae,,,,21.643,0.023,21.074,0.064,,,0.39806617,0.33,0.04,0.57,0.04,,,,,,,,,,,,
39.5785,-34.536556,,21.229,0.024,,,,Braga,RRLyrae,,,,21.611,0.025,20.889,0.111,,,0.411623,0.5,0.05,0.53,0.04,,,,,,,,,,,,
39.578917,-34.774389,0.46901725,21.392,0.02,,,,Braga,RRLyrae,,,,21.691,0.025,20.907,0.02,20.828,0.09,0.383798,0.6,0.05,0.69,0.06,,,,,,,,,,,,
39.601208,-34.607833,0.54014434,21.352,0.019,,,,Braga,RRLyrae,,,,21.657,0.025,21.106,0.03,20.837,0.017,0.401489,0.49,0.04,0.54,0.03,,,,,,,0.26,0.03,,,,
39.601292,-34.661417,0.54169399,21.375,0.019,,,,Braga,RRLyrae,,,,21.73,0.022,21.162,0.013,20.887,0.027,0.415165,0.46,0.04,0.56,0.05,,,,,,,,,,,,
39.603333,-34.717028,,21.322,0.025,,,,Braga,RRLyrae,,,,21.595,0.025,21.122,0.244,20.998,0.041,0.349204,0.44,0.04,0.56,0.05,,,,,,,,,,,,
39.608458,-34.777306,0.48139164,21.406,0.02,,,,Braga,RRLyrae,,,,21.684,0.024,21.314,0.15,20.859,0.055,0.39359786,0.5,0.04,0.75,0.06,,,,,0.14,0.02,0.22,0.03,,,,
39.614667,-34.489222,1.04990253,21.38,0.023,,,,Braga,RRLyrae,,,,21.573,0.022,21.138,0.04,20.824,0.091,0.375746,0.41,0.03,0.61,0.04,0.39,0.07,,,,,,,,,,
39.623167,-34.901944,,21.392,0.026,,,,Braga,RRLyrae,,,,21.638,0.027,21.059,0.022,20.711,0.045,0.43230322,0.37,0.04,0.46,0.04,,,,,,,,,,,,
39.631,-34.683167,,21.338,0.028,,,,Braga,RRLyrae,,,,21.638,0.029,21.295,0.046,20.979,0.051,0.393839,0.46,0.05,0.55,0.05,,,,,,,,,,,,
39.647458,-34.598389,0.50276095,21.429,0.027,,,,Braga,RRLyrae,,,,21.715,0.022,21.195,0.047,21.095,0.093,0.37323,0.48,0.04,0.48,0.03,0.4,0.08,,,0.11,0.03,0.17,0.02,,,,
39.668958,-34.51475,0.562136,21.291,0.028,,,,Braga,RRLyrae,,,,21.55,0.023,21.059,0.04,20.788,0.121,0.418882,0.42,0.04,0.52,0.04,0.28,0.07,,,0.18,0.03,0.31,0.03,,,,
39.675458,-34.812278,0.49684641,21.462,0.026,,,,Braga,RRLyrae,,,,21.763,0.024,21.367,0.101,20.812,0.074,0.37030895,0.56,0.04,0.58,0.04,,,,,0.18,0.04,0.19,0.03,,,,
39.68,-34.136944,0.48468904,21.38,0.021,,,,Braga,RRLyrae,,,,21.636,0.022,21.186,0.134,21.046,0.076,0.36630189,0.49,0.05,0.54,0.04,,,0.26,0.07,,,,,,,,
39.677833,-34.805806,,21.217,0.042,,,,Braga,RRLyrae,,,,21.498,0.035,21.138,0.179,20.741,0.083,0.42283054,0.62,0.07,0.48,0.06,,,,,,,,,,,,
39.680667,-34.815611,0.4725713,21.401,0.027,,,,Braga,RRLyrae,,,,21.656,0.026,21.28,0.137,20.969,0.093,0.38148519,0.42,0.04,0.45,0.04,,,,,0.16,0.03,0.19,0.02,,,,
39.681167,-34.792889,0.61408583,21.367,0.024,,,,Braga,RRLyrae,,,,21.649,0.024,21.148,0.046,20.862,0.055,0.36012419,0.44,0.04,0.57,0.04,0.44,0.08,,,,,0.35,0.03,,,,
39.682375,-34.690222,0.522916,21.389,0.026,,,,Braga,RRLyrae,,,,21.674,0.024,21.173,0.017,20.88,0.1,0.389963,0.42,0.04,0.52,0.04,0.33,0.04,,,0.28,0.03,0.28,0.03,,,,
39.683833,-34.709972,0.50009687,21.4,0.026,,,,Braga,RRLyrae,,,,21.687,0.023,21.242,0.017,20.847,0.076,0.372129,0.41,0.03,0.59,0.04,0.39,0.04,,,0.08,0.02,0.09,0.02,,,,
39.696917,-34.575389,0.54364363,21.293,0.029,,,,Braga,RRLyrae,,,,21.607,0.023,21.047,0.041,20.832,0.076,0.405956,0.38,0.03,0.44,0.03,0.37,0.06,0.24,0.09,0.19,0.04,0.13,0.02,,,,
39.704958,-34.579611,0.52892015,21.36,0.03,,,,Braga,RRLyrae,,,,21.708,0.023,21.189,0.149,20.86,0.071,0.395865,0.52,0.04,0.43,0.03,,,,,0.2,0.03,0.23,0.03,,,,
39.732417,-34.852056,0.50105805,21.533,0.03,,,,Braga,RRLyrae,,,,21.884,0.025,21.262,0.134,21.125,0.085,0.372926,0.32,0.03,0.38,0.04,,,,,0.17,0.04,0.26,0.05,,,,
39.760583,-34.489417,0.51024161,21.495,0.033,,,,Braga,RRLyrae,,,,21.749,0.029,21.21,0.049,20.942,0.12,0.380269,0.37,0.05,0.42,0.04,0.36,0.07,0.44,0.13,0.22,0.04,0.39,0.03,,,,
