diaObjectId,dec,ra,i_psfFluxErrMean,i_psfFluxLinearSlope,i_psfFluxMAD,i_psfFluxMax,i_psfFluxMean,i_psfFluxMeanErr,i_psfFluxMin,i_psfFluxNdata,i_psfFluxSigma,i_psfFluxStetsonJ
604070726227460122,-34.51040995892194,40.525125601054405,690.05,-1073.0191325275414,2557.58,-1825.6983642578125,-4133.27978515625,332.5599670410156,-14028.7421875,3.0,6435.45483912577,6.648631597121966
604070726227460121,-34.52900912682788,40.53471814176694,1446.35,-3492295.2697136663,5060.47,-61502.359375,-66606.6484375,1022.697265625,-71623.296875,2.0,7156.583538215224,4.238209450998206
604070726227460135,-34.56657346678439,40.47397063938024,363.19,-184.19230466959613,683.906,4361.26904296875,3424.8115234375,209.2550506591797,2020.67431640625,3.0,1203.5176976374537,2.145777833809466
604070726227460138,-34.553174315652235,40.497424973525405,388.522,-474.90235764237366,364.17,8360.84375,5179.357421875,223.3162841796875,2994.797607421875,3.0,2998.495022479513,5.278057236790988
604070726227460132,-34.58378375313601,40.45447857936374,304.619,461553.6134131908,383.474,2641.037841796875,2254.281005859375,215.39219665527344,1874.0892333984373,2.0,542.3145618201211,1.4720280554812826
604070726227460129,-34.578869758949274,40.433922874903125,321.02,-396.878486722713,2165.55,2745.542724609375,911.5535278320312,224.9830780029297,-1585.54931640625,2.0,3062.544552145233,8.269825092180449
604070726227460128,-34.548238001135935,40.40823040426458,423.492,375.2023829597859,589.644,-5895.00439453125,-9260.2314453125,189.0379180908203,-10739.7666015625,5.0,2082.43866893476,3.0339922543964453
604070726227460148,-34.62172643468294,40.4034629571816,510.583,-527.2637289784815,2307.98,11193.2724609375,7179.40673828125,254.96534729003903,3938.068115234375,4.0,3482.770147307271,6.065624663442396
604070726227460117,-34.542952735506105,40.51865251057861,490.097,-950.0196552799416,4215.0,11000.154296875,5049.31005859375,244.3824920654297,-2383.896728515625,4.0,6193.826685351989,11.79851631480359
604070726227460363,-34.597689480313875,40.51837440964401,325.192,-92.8609670034128,632.872,-1449.056396484375,-2061.455078125,186.5930938720703,-2851.957763671875,3.0,702.5672551976091,1.3238877866678995
604070726227460362,-34.60770816744745,40.49515627677131,304.805,-101.11623125382364,551.751,-1425.1209716796875,-1889.56298828125,213.48800659179688,-2528.62255859375,2.0,780.29345515705,1.66261422614971
604070726227460116,-34.54542205348811,40.50597817906338,716.747,-1607.3944261329366,7482.75,21231.037109375,11878.37890625,357.9631652832031,-1019.8544921875,4.0,10588.104164905077,14.080939002791974
604070726227460278,-34.62195560784455,40.40046649390117,267.991,70433.8642535318,45.2396,1685.9036865234375,1639.8548583984375,189.47532653808597,1595.4244384765625,2.0,63.978489850605,-0.9710872021603696
604070726227460361,-34.62168357100772,40.45779862161318,283.512,-20.56370372902932,112.232,-1323.34814453125,-1416.3660888671875,198.24676513671875,-1547.811767578125,2.0,158.71974998614633,-0.8291224521677159
604070726227460277,-34.610751586433885,40.41169613859136,296.321,-720049.2879014527,582.664,3030.076904296875,2450.901123046875,209.52804565429688,1864.7491455078125,2.0,824.0111605446674,2.0389874078550347
604070726227460149,-34.57443753948368,40.40688786081427,425.866,220.6616548330411,883.362,-7019.625,-9707.5087890625,173.5034942626953,-11523.3193359375,6.0,1562.5324352826583,2.289307684728915
