diaObjectId,dec,ra,g_psfFluxErrMean,g_psfFluxLinearSlope,g_psfFluxMAD,g_psfFluxMax,g_psfFluxMean,g_psfFluxMeanErr,g_psfFluxMin,g_psfFluxNdata,g_psfFluxSigma,g_psfFluxStetsonJ
579577386731831634,-72.1105161616206,5.266049394490877,563.774,144.27558438173085,244.316,4390.00927734375,-1938.70751953125,244.6221466064453,-6141.77734375,5.0,3825.529613510509,3.338645885107635
579577386731831636,-72.10871305678334,5.201093965782508,642.438,-12814618.35056478,2432.87,-8970.7919921875,-15997.02734375,370.898193359375,-20802.8125,3.0,6248.461613176628,7.2509405548499215
579577386731831638,-72.10961248404814,5.236366158847156,367.506,-434.04110723807,1034.52,-1087.773681640625,-3189.724853515625,149.66876220703125,-6101.96826171875,6.0,1736.2062728557237,3.2112415278430286
579577386731831643,-72.10724549903463,5.219635277669336,462.362,-519.7701230201561,1703.8,-3292.1669921875,-6673.6484375,174.18820190429688,-9165.625,7.0,2358.46842650368,4.376630158916384
579577386731831646,-72.10509902503031,5.190115042323278,503.977,-606285.9961720947,91.2236,-8359.7841796875,-12893.6884765625,225.34909057617188,-14504.228515625,5.0,2635.892124106418,2.6423068116176065
579577386731831649,-72.10601895222858,5.204106362231118,646.063,1964786.45828276,3225.97,-8865.4921875,-15656.9833984375,372.9947814941406,-20718.513671875,3.0,6128.172503158139,7.156426974182279
579577386731831654,-72.10836746229597,5.275043610081479,580.661,134168.1226271936,2503.27,-3730.622802734375,-8773.4072265625,259.6537475585937,-13887.8310546875,5.0,3854.303362968061,5.160490327355722
579576081061773838,-72.36105669390997,4.945815507415281,307.729,-77.74435147871166,500.484,-2393.8310546875,-2860.860107421875,137.1459197998047,-3493.1064453125,5.0,450.745821996169,0.5575590793728096
579577386731831663,-72.10447830119384,5.221829745561144,419.202,-150.2057312365975,971.251,-3036.231689453125,-5649.177734375,171.00938415527344,-7577.150390625,6.0,1597.6375210553624,2.640308150837978
579576081061773871,-72.47644090941724,5.162124119457415,353.318,280.5380945703304,843.505,4356.25,3641.07177734375,247.64749145507807,2669.240478515625,2.0,1192.8958725678742,2.437101619315282
579576081061773885,-72.42272741668562,4.942001379925319,349.826,-124.56288056565684,374.27,-2252.75732421875,-2653.18310546875,246.9108428955078,-3001.2978515625,2.0,529.2980828777199,1.1139618706183227
579576081061773855,-72.36317547073921,5.009665767446257,308.879,163692.49234104014,164.726,-1697.971923828125,-2139.394775390625,177.2069854736328,-2434.727783203125,3.0,386.687244388301,0.0689571968590387
579576081061773856,-72.35925325965422,5.004771739302149,304.276,-267130.0140403995,233.571,-987.8865966796876,-1491.853759765625,175.4290008544922,-1891.7408447265625,3.0,469.1814314831647,0.6397818276141914
579577386731831626,-72.108395495001,5.183080195367418,633.315,4231342.452536382,2079.44,-11663.6171875,-16887.853515625,365.5943298339844,-20649.79296875,3.0,4704.225922395283,5.535096098023563
579576081061773858,-72.42720955747268,5.124675243118936,341.545,170.30606192735948,475.195,3619.941650390625,2696.372802734375,196.42691040039065,1972.2041015625,3.0,848.1062818437306,1.4410305298799255
579576081061773861,-72.41110547042865,5.11612057481736,313.95,44747.63042370404,37.9536,2726.506591796875,2685.96630859375,221.6086578369141,2650.599365234375,2.0,53.67451464340738,-0.9852937629309986
579576081061773862,-72.40968769336297,5.097875968718285,301.443,-7749288.950300667,117.167,2691.0078125,2566.95751953125,212.8757781982422,2456.6748046875,2.0,165.69845888005898,-0.8354328310096062
