diaObjectId,ra,dec,g_psfFluxMean,r_psfFluxMean,i_psfFluxMean,g_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,g_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,g_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,g_psfFluxMAD,r_psfFluxMAD,i_psfFluxMAD,g_psfFluxNdata,r_psfFluxNdata,i_psfFluxNdata,nDiaSources,Region,Class
579576562098112760,6.539316610356931,-72.20796978618466,-29392.18359375,24.918367385864258,-21.884199142456055,,3480.281419842968,2206.1161806234795,0.0,1919.69,515.489,,11.387247154280653,6.0132831005203835,0.0,2273.15,1589.88,1.0,12.0,12.0,25,47,RR Lyrae
579576562098112444,6.736868262904906,-72.17041613015571,-25834.279296875,-1661.9844970703125,-6542.57763671875,,4584.8607480350665,7541.896215101004,0.0,2852.81,798.973,,12.552184380341718,13.743657117984332,0.0,1632.2,429.188,1.0,9.0,3.0,13,47,RR Lyrae
579584602276888792,7.235785662820049,-72.13854695093161,-9131.1533203125,1001.2648315429688,3890.474365234375,10949.940792783298,10092.975197357811,10119.981242189064,1569.24,20442.5,1787.9,19.785266006759326,27.289529389636513,21.7473734092168,826.825,10752.5,5445.1,3.0,23.0,4.0,30,47,RR Lyrae
579584602276888798,7.063829553791321,-72.10313943171742,-1965.160400390625,438.588623046875,-1881.1619873046875,672.9647103054865,5191.706593278367,4347.607397217444,3.55651,4304.29,1059.26,1.468647087978252,9.39531789914153,7.360958852295261,475.858,311.732,1223.58,2.0,18.0,11.0,31,47,RR Lyrae
579576012342296907,5.45269100644081,-72.422635760556,2039.3763427734375,922.968505859375,4550.92431640625,6404.876007253071,11498.736954686334,8424.645149760925,1452.54,13327.8,3130.75,14.952514099375117,25.4546994106623,14.160411954820606,657.312,1703.94,8063.93,5.0,14.0,10.0,29,47,RR Lyrae
579576699537065382,5.349848016652141,-72.25939727863296,-5282.64794921875,-988.374755859375,-5455.07373046875,11897.320745021118,11623.714363832543,8894.923699226985,11863.8,21845.7,9081.7,35.62147499544378,23.54639734150937,19.742462298809563,4106.05,828.578,7903.9,9.0,19.0,18.0,46,47,RR Lyrae
579576699537065428,5.2392919513744225,-72.20123078424257,-6651.66796875,-20628.712890625,-4769.8046875,15075.114800893594,17029.130709134446,14307.235592484816,16333.0,34483.3,14866.7,41.97571597040731,40.44830108804274,30.638295972837327,2719.12,11374.9,5669.12,9.0,18.0,13.0,40,47,RR Lyrae
579575943622820362,5.855335275096806,-72.32661742125758,-203.0035858154297,-713.2908325195312,2.4405572414398193,2201.733185588853,3649.4537146299353,3338.3107136950375,153.528,4598.17,1221.28,5.925153731938773,15.373873042112937,8.293193583227765,1064.37,1752.28,2386.31,4.0,25.0,16.0,45,47,RR Lyrae
579576699537071178,5.639132877809713,-72.2304723145107,,-279.2898254394531,,,11654.3019481041,,,3297.22,,,40.34662477408673,,,8240.84,,,2.0,,2,47,RR Lyrae
579584602276889892,7.333532682522063,-72.00198680768627,,-222.68136596679688,,,9452.822491242723,,,5384.69,,,27.6350477535451,,,8605.86,,,7.0,,7,47,RR Lyrae
579584602276889898,7.260049495028219,-71.98271100596794,,9367.80859375,,,10560.823180715377,,,8707.73,,,24.13737747591207,,,3106.28,,,9.0,,9,47,RR Lyrae
579584602276888841,7.114133710979179,-71.975612909355,-42287.72265625,-43.25076675415039,2171.3330078125,,14125.969858686567,15391.276773744217,0.0,36177.2,5022.72,,29.82408962243643,26.282442042175205,0.0,880.005,550.613,1.0,20.0,5.0,26,47,RR Lyrae
579585289471656348,7.209387156744528,-71.90855779167245,-2158.6640625,-4091.14404296875,2081.049560546875,,7096.002060009521,6865.045449407209,0.0,3849.8,262.52,,16.725632740028797,15.281605623721804,0.0,6906.81,4854.32,1.0,9.0,2.0,12,47,RR Lyrae
