diaObjectId,ra,dec,g_psfFluxMean,r_psfFluxMean,i_psfFluxMean,g_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,g_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,g_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,g_psfFluxMAD,r_psfFluxMAD,i_psfFluxMAD,g_psfFluxNdata,r_psfFluxNdata,i_psfFluxNdata,nDiaSources,Region,Class
579575874903343117,6.730359030810144,-72.35863851629937,-25.737882614135742,3627.943603515625,-583262.0,7733.724285820676,33785.145142727495,704650.5488576612,355.715,9200.21,1025240.0,8.063140900697348,24.96975084486698,342.03102579915816,5039.19,28782.9,43974.3,4.0,14.0,8.0,29,47,LPV
579577867768168597,6.779542897916948,-71.80677964143226,5576.248046875,11738.416015625,39422.3828125,26291.10926439147,40450.502825853444,60132.77908494823,5247.72,12965.1,5571.0,31.40230360619388,29.08845014624693,30.27345445503974,24455.6,25270.4,23519.0,5.0,12.0,5.0,23,47,LPV
579583983801597996,7.032045809997207,-72.2131740993702,34539.55078125,964.9606323242188,14227.13671875,16013.558443955679,29201.505863328286,37694.537227939065,1680.87,9170.71,4031.45,16.252812369279063,17.034752266879533,15.950654181752158,9208.23,10935.1,15915.5,4.0,17.0,11.0,36,47,LPV
579583915082121510,7.531104952279902,-72.26685935816835,,-15198.4912109375,78740.125,,6298.066829124336,6166.993122216378,,168.559,9.47465,,3.2958605286486207,2.254552087394889,,2893.21,4360.72,,9.0,2.0,11,47,LPV
579583846362645099,7.790434521923617,-72.2329104355743,,-8035.0009765625,,,,,,0.0,,,,,,0.0,,,1.0,,1,47,LPV
648370668185845770,38.395792891806316,6.277232134199884,171.10986328125,1578.4871826171875,-5258.41796875,2081.19384765625,4065.8794329464463,8213.330512024004,45.6113,88.8044,398.265,5.477788333896494,5.0036449418324755,7.4800228205760275,1471.63,2753.49,3821.14,2.0,3.0,6.0,13,LELF,LPV
604064266596646923,39.419092286748146,-34.335566144060124,,-2558.914306640625,550.0960083007812,,5330.322265625,11904.704238245718,,285.541,526.317,,9.34308928736188,12.165644641563764,,4187.46,6387.97,,3.0,3.0,6,Fornax,LPV
604063579401879604,39.525777817894195,-34.522053001913015,,312.8446960449219,120.60777282714844,,5259.67138671875,14639.731429153413,,1662.92,6951.66,,13.24051299838696,22.741755819588494,,179.118,1854.46,,4.0,7.0,11,Fornax,LPV
604062823487635629,39.626019201830495,-34.75084228460587,,-9887.1181640625,10835.7294921875,,23629.417925988273,3817.726135411382,,5247.63,31.2664,,20.17875899748865,4.68593156815274,,3490.09,2699.54,,5.0,2.0,7,Fornax,LPV
604063510682402993,39.66739042318318,-34.540364645870426,,-2221.7841796875,2695.998779296875,,5272.189793808625,8830.867728123678,,1713.26,676.008,,9.998378640764024,9.97211607076921,,3607.84,8806.16,,11.0,6.0,17,Fornax,LPV
604063510682403073,39.71490868622937,-34.59038934481537,1337.66650390625,4112.51318359375,10819.3388671875,,8586.532822674233,10174.971117651963,1.85649e-13,2994.81,828.342,,8.771094484540326,5.7394799124465905,0.0,2449.74,2579.1,1.0,15.0,8.0,24,Fornax,LPV
604062823487635474,39.71783829612156,-34.74876649467157,-999.107421875,-504.8525695800781,-23270.259765625,,8757.555871706563,18041.53594120125,0.0,2377.59,1731.02,,13.742421166769509,15.86711654687358,0.0,5711.89,9945.16,1.0,10.0,5.0,16,Fornax,LPV
