decl,diaObjectId,iPSFluxChi2,iPSFluxErrMean,iPSFluxLinearSlope,iPSFluxMAD,iPSFluxMax,iPSFluxMean,iPSFluxMeanErr,iPSFluxMin,iPSFluxNData,iPSFluxSigma,iPSFluxStetsonJ,iPSFluxSkew
-44.6124078,1249080393525625600,75203.1721565,815.2651496,61.8637598,71081.71899,483355.7706364,275730.7297474,398.7829168,191169.4432549,4.0,137262.8267717,133.4825712,0.9220787
-44.5951401,1249080393525625598,16.5625133,571.3357664,0.116184,729.5608171,1590.6038468,148.673288,232.1822921,-1345.5569304,6.0,1076.8908948,0.7238666,0.0559478
-44.5424824,1249080393525625631,43.4761227,369.7436412,-3.9021277,185.7398081,1870.1277342,846.5826846,212.9796776,-1277.6426147,3.0,1766.1909282,2.5230643,-1.7105256
-44.636772,1249080393525625623,64.4509849,1209.4734165,-0.0750975,2274.0806507,4041.6064073,-2146.3685072,401.2656074,-7017.0538038,9.0,3545.3275283,1.9489941,0.2865241
-44.6115769,1249080393525625715,147.8878014,695.935485,-2.6553906,3449.5747222,3616.3080289,-467.2787294,303.3593386,-5630.3437854,5.0,4058.302814,5.1410494,-0.0532431
-44.6198416,1249080393525625711,133.4525695,1097.3149253,5.3043149,1446.984187,3726.808711,-1453.1852751,242.4326931,-5969.7717571,20.0,2654.8606644,1.3772113,0.2496234
-44.6200978,1249080393525625743,17922.0495458,523.9508286,105.8500456,7556.2699618,54716.3928981,19535.451114,301.5168011,-32268.3846148,3.0,48187.7172222,71.2785447,-1.6842605
-44.6292312,1249080393525625740,321905.8686204,1487.8589786,2864.199533,417387.3711241,1550384.427625,680630.6857713,814.1877727,308971.7646896,3.0,631708.7011715,326.9963154,0.9211116
-44.5685623,1249080393525625688,30952.6657523,550.7466482,-64.539227,12893.9047872,-41524.7739274,-80432.1293194,134.9674614,-106207.7478279,16.0,23578.7419123,34.0258247,0.7929915
-44.6126136,1249080393525625697,89656.5295106,767.1459683,-494.6100569,84707.6364677,324419.4916954,155484.267191,424.7473165,31202.5786073,3.0,150901.546399,180.0221849,-1.1385863
-44.6114001,1249080393525625699,112.0454213,621.9120647,14.6050099,3250.1559954,3177.1915689,37.2006884,309.8046436,-3706.3431557,4.0,3799.5351307,5.2297999,-0.005425
-44.6367872,1249080393525625694,36.1686355,1009.285684,0.992319,831.4065859,12292.9049915,6033.7271589,482.7474856,4223.7770362,4.0,3736.3156527,1.5188863,1.8007041
-44.5327238,1249080393525625690,108082.4358612,965.1791549,347.47312,62522.7389892,573281.9481032,342307.2019731,302.3224019,190610.9244684,10.0,108364.2396973,84.107472,0.4494536
-44.6292732,1249080393525625339,6093877.1300944,1628.6560903,-1602.4671375,902353.7635626,3648057.5032559,382591.4053366,372.5039061,-256964.5832822,14.0,1300941.6556466,593.5930152,0.7505181
-44.5382391,1249080393525625376,885606.695277,908.3413438,65.8285859,57399.5844049,1554015.1817629,288039.5344355,254.9674141,90253.5880908,11.0,403067.8009353,186.6420524,2.7445544
-44.6398237,1249080393525625568,104571.036934,1076.4695606,-7330.0885675,140150.9011141,482367.6014678,220045.5632033,594.9683078,34548.0385918,3.0,229072.2744055,195.1263551,-1.0317518
-44.6367363,1249080393525625570,343.8801142,1020.2647672,-2.1865162,3565.317327,12686.2141233,-4306.5642339,427.9624406,-12478.5337601,5.0,10238.4185624,7.5671391,1.6598142
-44.6293612,1249080393525625569,1203370.4213075,1295.9494828,-853.3089268,396023.7236904,1356055.6394568,320994.6443185,402.026188,-216179.4604896,9.0,510816.7184408,337.3105981,0.1914259
-44.619825,1249080393525625470,269.2657749,1018.8165916,17.346983,3412.3707013,4546.669208,-1666.2115162,334.8597095,-12632.229902,9.0,5607.1551626,4.2731153,-0.5008457
-44.4860741,1249080393525625521,1646.1193945,571.1391196,-100.340169,9392.2543037,-58653.2713036,-72748.0496028,251.7530533,-85272.5636267,5.0,11220.1052887,17.207639,0.2305502
-44.6197567,1249080393525625995,90534.5347012,539.625634,-237.4068282,28647.9150985,52969.5569675,-47847.1438497,186.9783143,-95071.150135,8.0,62823.2880234,99.9905128,0.8573819
-44.6127414,1249080393525626086,282687.3288483,816.3270751,-7592.9336261,36138.0877149,477634.0985735,168826.9494405,410.9697706,4758.9016506,3.0,263203.4117712,361.5273546,-1.6953897
-44.5690224,1249080393525626091,5810.5019173,525.2693909,-929451.2004391,7108.0668781,45436.7716172,9908.7299134,302.3207066,-8251.6461094,3.0,29162.4755976,39.4613751,1.6170073
-44.612486,1249080393525625826,391080.0139595,787.5437726,-208.854603,58720.0171709,807719.9795637,67081.1063642,348.5789637,-44342.3503161,4.0,403941.6025407,260.0620461,1.9124361
-44.589816,1249080393525625780,66.6542364,1126.2354665,2.8656593,1414.1477782,8240.0267145,3031.5310106,338.6951478,-1711.3247666,11.0,2839.1171343,1.2916598,0.0321045
-44.6403134,1249080393525625772,5.7329332,522.6755244,-2.854379,281.1158238,718.3379646,164.4645281,259.9367841,-924.6098983,4.0,727.7781764,0.0862936,-1.4339245
-44.595149,1249080393525625903,70.8426631,512.3866189,-41.5087832,32.352066,2663.2170638,865.9446046,295.7601605,-2614.063659,3.0,3037.5432809,3.5001185,-1.7318298
-44.5847499,1249080393525625902,20.9703793,433.6556436,21.0966309,434.6349468,-534.7338574,-1637.3249444,215.21504,-3217.97667,4.0,1154.0987357,1.213929,-1.3965294
-44.5847418,1249080393525625910,3.8273248,465.386344,1.8911214,242.459299,-1529.9492909,-2317.1042247,231.1178428,-2777.4298976,4.0,549.5926383,-0.1292809,1.2744283
-44.6201162,1249080393525625874,40233.369609,543.587241,400.2348877,73146.5299391,69418.5796309,-22247.5799862,302.9963431,-78341.6485355,3.0,73881.3280799,118.4898152,0.0297864
-44.6125783,1249080393525625872,6.4813906,249.717326,-20.2293529,217.4011947,2117.889724,1780.2529079,110.2333894,1340.3067518,5.0,312.6461936,0.1584477,-0.9327084
-44.5620829,1249080393525625869,30.4447185,499.3635168,6.3083709,651.4395679,255.2861432,-1187.4362755,244.8066606,-2965.129883,4.0,1477.0810287,2.2115221,-1.2227436
-44.5773498,1249089189618647162,7.102141,453.7583002,-0.5607258,58.0257556,-628.8613157,-1636.9427218,256.9916142,-2138.5281636,3.0,855.3481592,0.5288554,1.7230877
-44.5343744,1249089189618647163,46.4581583,498.4328017,2.4202317,928.0452196,2488.4816855,368.9105482,202.0910934,-2004.5127652,6.0,1563.3443394,1.8728179,0.093868
-44.5850838,1249089189618647146,2068389.0785204,1614.8829436,-217.2347861,119460.1006404,924021.8997074,461774.4734462,258.0212139,-44877.0235261,36.0,356403.185681,214.1933914,-0.655149
-44.5813839,1249089189618647144,3152116.5298931,1727.3560779,-12.7429503,109826.5766794,1053290.918318,534954.9944618,274.1324801,-335984.6818648,38.0,462175.9967436,259.259236,-0.8810102
-44.5534324,1249089189618647143,173.3421397,612.4314021,0.3316854,1440.680703,4768.5343649,677.4405241,143.5292781,-1836.8774906,17.0,1875.643779,2.350767,0.4790395
-44.5810995,1249089189618647174,37.5833116,568.0008107,-0.3251317,553.4593909,3332.5076316,1401.7810482,212.0286509,-1130.3397969,7.0,1434.5735351,1.2482282,-0.3331044
