decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ,gPSFluxSkew
-44.5915172,1249546586455802245,185.3070155,379.2657857,11.7253112,609.8689445,2325.8398018,801.757846,125.1604744,-4017.3567583,9.0,1962.3050842,2.8182621,-2.0075985
-44.5414959,1249546586455802145,2911.2178858,642.1781306,53.0048348,22284.5855207,109492.3516756,85076.9229095,370.3392734,61202.5839257,3.0,24168.7605666,30.8230611,-0.2303056
-44.4881461,1249546586455802161,1493937.2737519,752.3439141,-4820.3349484,157884.3976693,1012656.8938072,162886.8912018,280.0740965,11003.2623104,3.0,538544.953319,770.8136691,-1.5660837
-44.5786963,1249546586455802119,23.7700287,272.2129675,1.8762,62.7935584,1779.8662629,833.6138637,154.7139857,195.1904867,3.0,897.3354846,1.7794744,1.7225138
-44.5872439,1249546586455802808,10.7618211,241.4205753,2.2815357,155.4565259,1051.0104349,517.0685518,117.9077442,93.3521132,4.0,427.7208249,0.6348958,1.4947085
-44.5888695,1249546586455802168,320.9320412,548.2887201,2.3633953,1617.5465639,3572.1890097,-537.2477783,156.9864761,-8391.8628761,12.0,3026.2852482,3.4226954,-1.3708965
-44.630488,1249546586455802795,135.9846088,349.9813151,1.4692351,260.0852369,2809.1418336,351.4098246,115.5569227,-1462.6989441,9.0,1359.3855538,2.2632167,0.1433588
-44.6413804,1249546586455802860,119.0115052,558.157069,2.6866332,1185.7367027,3978.1228687,-792.6706125,209.3193118,-2848.3950825,7.0,2361.0010606,2.8000044,1.6403793
-44.5748144,1249546586455802335,174.8750099,302.4931739,0.8907632,588.5475689,1919.6418764,606.2765467,79.8034665,-1787.2912,14.0,1073.6195302,2.026811,-1.1270588
-44.5679999,1249546586455802882,18.8769031,170.4234438,-0.083658,190.8286053,757.4448121,198.4498551,72.688336,-164.1439681,5.0,345.5455975,0.83231,0.8395159
-44.6078309,1249546586455802865,24.5757478,230.3089355,8.5065184,659.9138274,314.3771136,-443.8348456,132.5933907,-1244.0993713,3.0,782.2776642,2.4483284,-0.4528718
-44.5693477,1249546586455802868,8.0307324,199.623064,-2.2085313,119.2629551,957.350874,339.2909854,95.334207,135.0537601,4.0,383.4316472,0.249007,1.5699557
-44.6155489,1249546586455802867,176.8535562,283.5479561,8.3316109,437.3930006,1040.6791387,-439.653512,112.5414219,-3928.1029875,6.0,1727.8078237,3.1050017,-1.8220333
-44.6456914,1249546586455802825,95.629271,579.2140779,4.9450906,1154.7012468,1873.0767112,-978.714046,190.3686216,-4998.7100264,9.0,2090.966264,2.405425,-0.4426719
-44.5833026,1249546586455802519,15.7182965,131.7906489,0.9934643,123.1387067,136.2302889,-324.8997266,74.5251949,-586.1214401,3.0,386.4391732,1.3429628,1.5363042
-44.6070544,1249546586455802474,932670.7885084,1108.2170126,-946.5458568,116534.1366094,702648.6305584,339939.7191465,304.874591,-186222.0803226,12.0,260982.2633764,222.6203857,-1.3413306
-44.5274351,1249546586455802490,0.7684368,131.6869883,0.1158711,42.6157327,782.5580089,708.0552394,74.4013954,623.7805734,3.0,82.1785819,-0.7601685,-1.2229621
-44.4880594,1249546586455802491,38120.5887193,574.0766873,-84.1739422,46529.900491,297072.5820324,229584.5355405,283.9278915,165547.4723636,4.0,64466.5010226,103.4547435,-0.2846475
-44.5787698,1249546586455802487,96.407043,239.1366932,-2.5815969,965.9106582,1268.7151358,-704.211146,136.6821145,-2104.6274109,3.0,1737.2464628,5.1090924,1.1494405
-44.5331176,1249546586455802049,53.5411277,229.9929722,0.182869,214.7685862,1546.9391542,968.2888817,72.3230072,-228.8458462,10.0,574.6313524,1.0387771,-1.1641672
-44.5010471,1249546586455801968,210.2305938,449.9312212,0.8544863,628.9722408,2947.1506491,-23.5277005,108.7318846,-3512.0938086,17.0,1612.3590587,1.9767362,0.1655818
-44.5045173,1249546586455802020,13673.1004925,294.6818934,-7.7067153,15063.3975883,56460.4527344,29816.8834195,144.531989,10740.6479497,4.0,19615.19903,57.5645562,-0.0147628
-44.4881585,1249546586455801988,368152.9310821,401.5594264,57.7738709,44949.9262927,287496.2261775,9919.0249005,154.5791427,-72121.1521871,5.0,133860.2268619,242.7697447,1.0761109
-44.4884902,1249546586455801963,366541.4188612,445.3830896,-528.9111977,104754.3339641,351041.4611026,60154.7263483,168.8568868,-16967.7430953,5.0,144441.7553375,264.1039717,0.7505974
-44.4763958,1249546586455801964,334.3592213,292.6010627,0.2500475,1047.1917265,4445.3614188,1090.2425185,70.5069184,-583.3662154,17.0,1349.7303453,3.2832146,0.8662099
-44.5183396,1249546586455802024,153446.3005322,578.4483153,-626.632696,52130.0286513,352219.1765576,187175.7463166,307.3906389,83689.3076269,3.0,142393.0717346,247.7362837,-1.4745631
-44.4723333,1249546586455802009,167.0103896,270.199485,-0.5149068,580.4804022,3741.7629251,1399.251985,69.3734875,-81.1946982,15.0,947.8259829,2.2117208,0.7716772
-44.5181637,1249546586455802011,1432769.7334531,662.0037041,-101.5420213,216271.4027425,1215816.9181926,183222.8696019,219.8341913,26788.11275,6.0,445323.4730415,413.6321969,1.4389412
-44.5838247,1249546586455802019,644.0244397,807.0720789,10.0332005,4435.2051236,5084.0602896,-3919.7369288,283.1759739,-17694.6758904,8.0,7802.0244562,7.5429828,-0.6906595
-44.54144,1249546586455801971,4583103.7943987,1177.3139458,-1473.0309305,557081.7556523,1658180.0135727,569168.4828388,259.6912068,-50263.5929589,15.0,605988.6735052,495.0301828,-0.1648293
-44.4788928,1249546586455802041,24.9873477,335.0275059,1.1885434,186.1961155,-313.4434654,-1180.517233,126.13213,-2371.6179506,7.0,662.9347997,0.6951392,-0.9069548
-44.5809158,1249546586455801976,320.5035506,810.5525602,10.3369949,3918.6185373,-413.9365061,-6243.7089818,276.4247165,-16340.4222752,8.0,5787.6999791,5.0853022,-0.7230569
-44.5144228,1249546586455802038,198.3585133,235.3090106,0.4435125,550.8461003,1777.8587475,-620.5754015,66.0993502,-1600.1059833,12.0,1014.832439,2.7538098,1.2182182
-44.5452734,1249546586455802029,3.0918935,163.239403,0.0051677,95.2185321,1108.0500111,921.6387271,80.5730875,738.6090076,4.0,151.1531771,0.01485,-0.1140385
-44.6524406,1249071597432603711,19.7909887,229.1430867,-1.1357411,320.5533968,-178.6393001,-801.6312785,85.2999336,-1264.9436739,7.0,391.3602196,0.7764339,0.6641995
-44.589967,1249071597432603488,113.220192,394.9741297,-3.6680977,927.1280462,2710.978902,852.8558035,218.838578,-3331.9288906,3.0,3254.4201587,5.1242901,-1.5752528
-44.6177569,1249062801339582392,164.1385011,160.8440596,4.046898,420.9459251,1216.7176593,-297.3170212,74.7780696,-1422.2375218,4.0,1171.9111723,5.4903261,1.5065975
-44.6533844,1249071597432603712,243.1887258,471.7364068,-4.0951867,2033.158904,-733.6546255,-3576.8474289,165.5922525,-7738.8417841,8.0,2793.4577052,4.471331,-0.5839286
-44.476434,1249062801339582382,87.0660785,198.1619547,-38.8393852,193.4372755,892.5226645,-503.1027584,98.5266447,-1355.2411063,4.0,1014.8774996,2.9443877,1.8136474
-44.5844133,1249071597432603701,76.1894281,192.3095285,-1.1493332,232.5399295,1435.0954692,-361.5400478,106.241329,-976.5828309,3.0,1330.345261,3.7765152,1.6727047
-44.6319422,1249071597432603726,42123.2281874,327.7080783,-97.8413105,23278.1009056,20598.142855,-18706.1206521,159.8483546,-58513.9834907,4.0,38486.0695328,104.7269215,-0.5813972
-44.6297981,1249071597432603723,95.67501,152.1137187,0.325851,306.5390242,817.5730911,143.2418976,46.073629,-592.674138,10.0,485.2318826,2.0677942,-0.1510254
-44.6216739,1249071597432603391,120278.5088905,1070.3249168,-146.1835849,8713.0853453,39794.5174397,-20593.5199872,284.0200057,-274754.5668085,14.0,91687.4060852,49.3244783,-2.3499889
-44.5429529,1249071597432603384,1349152.761509,850.4153304,4307.7524079,335271.3543359,1263823.5323375,352611.4526538,380.8472895,92958.5165789,3.0,602985.4245302,772.265331,-1.149404
-44.6275304,1249071597432603597,342.6966634,451.636097,-1.9685521,2444.3544372,1313.2530158,-2130.6041707,141.3451971,-6844.2639512,10.0,2734.6667331,5.113164,-0.2601684
-44.6427218,1249071597432603676,281.6064389,821.2317232,5.5870187,2668.4861754,21536.5562907,14588.3728343,307.1067838,3016.5319969,7.0,5929.646876,4.6300357,-1.0155729
-44.6286539,1249071597432603603,9091.3749995,89.9764135,1.4011984,148.3913905,3054.6501796,-1794.2511259,24.1452487,-3125.8198612,12.0,2657.2510917,16.0404664,1.3221539
-44.6336854,1249071597432603600,94.904873,179.151628,-0.9614063,369.6853535,785.0963486,-234.8740559,65.5168578,-1048.8539882,7.0,625.8488595,2.6697882,0.0248176
-44.6331437,1249071597432603637,75.2933548,423.5150566,3.4127655,567.6568845,1643.8344391,-967.2834812,147.7460019,-3436.8468957,8.0,1451.2232855,1.7957538,-0.0160993
-44.6249638,1249071597432603629,62.3330885,304.3682741,9.4632391,499.5602177,1914.2386719,767.8998912,123.2493938,-1370.998392,6.0,1140.0571827,1.8233429,-1.3901342
-44.641613,1249071597432603618,30.6178293,201.4875962,-0.6808215,412.8170326,960.6380216,466.9197214,79.2600808,-104.7974089,6.0,445.581371,1.7730657,-0.0812891
-44.6322443,1249071597432603693,464.8274991,409.3344769,-121.8269815,1783.4398555,48902.0560938,44305.0299856,236.217498,37415.4151327,3.0,6181.6353012,11.359082,-1.5712742
-44.6396748,1249071597432603694,29.7441801,131.4868499,0.0156891,367.5148273,816.0788103,389.319279,56.3169847,-139.4753603,5.0,390.7400021,1.9895195,-0.2436105
-44.6448591,1249071597432603543,1385.3233067,394.2166415,5.6201215,3710.426129,4053.712958,-2348.8899718,123.1603125,-10432.1213738,10.0,4504.8465609,9.9454436,-0.5187342
-44.6190981,1249071597432603575,601.2187842,576.3013977,-5.1758696,1100.39313,12809.2248636,4642.0456073,162.4196799,-1378.7942037,12.0,3766.4902815,4.3395639,0.5869158
-44.6471703,1249071597432603580,23467.4416962,1055.3632271,-57.8278498,7572.1945751,45290.9480409,7412.3863183,315.9716746,-126345.2979861,11.0,46607.6384215,21.7883385,-3.0505332
-44.6427549,1249071597432603577,258.7127085,871.5418001,9.7691656,4436.8122481,23001.7672456,14755.1077923,388.6634942,4431.0422046,5.0,6997.1573886,5.759482,-0.8051114
-44.5355251,1249071597432603147,14.3903237,197.6364816,-0.726844,152.8941068,1948.9349247,1300.8106766,79.8884718,948.3791872,6.0,344.8347169,0.4296377,1.0649573
-44.5156792,1249071597432603105,575971.6197263,835.2676811,-2933.8588246,79276.0510623,801316.7402945,10150.6021984,442.3064045,-164747.3533898,3.0,536339.0653177,368.6526517,1.6895764
-44.5433065,1249071597432602951,97.9123187,131.1754855,-0.2708514,356.2900234,1046.7001656,395.8640622,64.2893887,-782.9932068,4.0,799.8977151,4.1883427,-1.258608
-44.5431685,1249071597432602963,235320.2862164,408.2255757,2807.504964,42481.8020634,125295.8512791,10170.657428,170.9101873,-84588.7918068,5.0,89444.586942,223.7112076,-0.8364507
-44.4884354,1249071597432602916,158.7898009,132.8845559,-1.1529169,829.0464067,959.310679,58.037949,66.3518333,-833.9347327,4.0,969.3084981,6.7294207,0.0072076
-44.5907576,1249071597432603011,17.33211,253.5684213,2.5323461,481.3314032,405.9479428,-66.8148134,111.7966614,-991.9558054,5.0,549.2161515,1.0826445,-0.8983592
-44.6038823,1249071597432603010,3381139.6376552,1087.158553,-889.8120701,374672.1484053,2453599.3752715,312440.8068576,344.8061414,-136729.8471689,6.0,1113281.8702395,624.2518448,0.79662
-44.5226001,1249071597432603027,75931.986022,792.5538916,-135.460448,60959.0115197,380416.9830583,224834.9760587,389.412207,89103.992056,4.0,119913.5794792,114.3679508,-0.64753
-44.6038302,1249071597432603194,105380.8900796,675.4105318,2757.0587265,77916.2533109,300272.8573973,73788.675424,376.0716531,-19971.7883288,3.0,167008.2959101,177.5146364,1.3176681
-44.5847776,1249071597432603191,10.5089121,154.805574,-0.7202636,186.6879763,714.8205151,358.1963698,66.5613782,160.2559619,5.0,222.4980823,0.3999728,0.8567884
-44.5548619,1249071597432603252,15.6421159,192.6740112,2.7771988,93.2137514,1442.9361401,1108.6570633,110.9728112,451.638207,3.0,547.4053332,1.2061262,-1.6757209
-44.5954037,1249071597432603249,45.2977041,300.3252523,4.9443866,426.1755723,660.0274705,-259.2846009,133.4561563,-1805.5956364,5.0,959.6367405,1.9952569,-1.2403471
-44.5258843,1249071597432603215,113.1758597,165.8009675,-1.3007535,336.5931339,1132.1752319,120.4362892,59.9317801,-1092.3292674,7.0,700.8850677,2.4783108,0.1278504
-44.6078309,1249062801339581807,24.5757478,230.3089355,8.5065184,659.9138274,314.3771136,-443.8348456,132.5933907,-1244.0993713,3.0,782.2776642,2.4483284,-0.4528718
-44.6155489,1249062801339581809,176.8535562,283.5479561,8.3316109,437.3930006,1040.6791387,-439.653512,112.5414219,-3928.1029875,6.0,1727.8078237,3.1050017,-1.8220333
