decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ,rPSFluxSkew
-44.5423742,1249546586455802260,245.954911,351.664264,-1.2177973,1115.3158455,3531.2763539,1155.0433546,87.2879728,-1608.4861918,16.0,1434.0651972,3.276231,-0.1446141
-44.5038187,1249546586455802545,2378.0870441,359.9047429,25.2040945,10640.8697199,5577.6420203,-6322.1720389,207.751918,-19001.5326238,3.0,12326.3963289,27.7452577,-0.3980745
-44.5784824,1249546586455802575,75.6405635,193.1155467,5.6194704,132.5299744,1097.6602694,355.8486277,110.3724797,-1030.8585647,3.0,1192.4853703,3.6494685,-1.7080141
-44.5915172,1249546586455802245,213.2446357,509.8136324,2.7279953,1825.9821397,2623.5579156,-1101.525316,130.4335483,-3194.1043727,15.0,1928.7717469,3.1071827,0.6114838
-44.5135876,1249546586455802581,1.0905097,274.59002,-0.7753092,94.7594264,-1197.4552795,-1363.9276918,136.3043111,-1602.9002668,4.0,167.3889178,-0.7544792,-0.5718241
-44.5414959,1249546586455802145,1421973.5143835,923.9024295,-222.5295531,215410.5265057,1344704.7558416,307901.0559704,211.8673079,65329.1733247,17.0,316754.4697911,243.6716196,1.5498345
-44.4881461,1249546586455802161,385097.0204062,439.8948389,-141.51768,75356.5752605,369823.9839133,-8585.8423809,147.0643312,-74544.0035896,7.0,153444.3945317,193.005953,1.8796063
-44.5180472,1249546586455802154,243869.7574994,459.8947157,85.6210603,95330.5477192,146046.6090525,-6549.5600658,154.5243977,-73518.4999754,7.0,89313.7988306,178.9088101,0.0360747
-44.5038534,1249546586455802121,12781.2912102,341.0697325,6.4463029,15107.9317239,-4453.7605002,-26152.5762288,136.5216297,-43852.7726961,6.0,16250.230342,41.6849492,0.2829175
-44.5786963,1249546586455802119,229.5606935,383.9731999,0.911408,666.1971963,2145.4343673,-385.8390887,98.3165786,-2454.0053171,15.0,1516.9153221,2.6023664,0.5525738
-44.5584187,1249546586455802804,552.8567968,284.3895182,-9.9007929,63.9405873,9280.533332,6776.7972224,163.5364807,790.3826584,3.0,4883.43737,10.7282934,-1.7317168
-44.5042052,1249546586455802645,65.777504,235.2991125,-1.2005754,441.7096589,1114.8014077,-230.629208,134.6697572,-1291.2196246,3.0,1280.7916694,4.1739873,1.5031869
-44.4790596,1249546586455802187,123.5048852,324.7152886,1.6082447,137.1331974,1704.0531753,226.4876531,140.6679934,-2146.2399725,5.0,1832.8768837,4.0252372,-0.7747767
-44.5888695,1249546586455802168,469.0897205,814.4036831,7.4787947,3015.9692693,4506.6399876,-1844.3345031,176.7116598,-6652.0528262,21.0,3938.4265162,4.0302477,0.265053
-44.4852932,1249546586455802164,66.9354684,648.9285756,-14.3488743,2691.8538362,2310.4479468,-342.5169818,365.5966999,-5125.6767755,3.0,3764.9730898,4.2835645,-0.7907021
-44.5228376,1249546586455802649,10951.6760964,353.5926575,-60.3232908,7551.7481814,26830.9009556,7498.9414625,203.9431339,-21568.8654651,3.0,26038.8392095,56.1414225,-1.5695992
-44.5040347,1249546586455802176,24463.1261812,367.5551381,12.5222845,21818.7078758,26514.7595518,-14800.0533087,162.8191284,-47998.3170795,5.0,29769.8345466,65.971287,0.6847916
-44.5180727,1249546586455802175,219695.810491,405.4124758,-26.2005979,63308.2208494,107295.3484941,-40873.4357617,142.276187,-95630.5038306,7.0,82992.4550425,172.3040676,0.5042076
-44.630488,1249546586455802795,895.4558685,661.3823064,-0.2193863,2373.8026617,15596.3990465,6001.0860924,122.3348244,1168.8150076,29.0,3649.3696136,4.0291407,0.8317204
-44.4958479,1249546586455802352,110.9602004,282.8635242,-1.4164522,243.1028068,1860.5140384,875.2655203,125.5963995,-1544.46577,5.0,1419.7642074,2.5201327,-2.1096741
-44.5582484,1249546586455802443,2855.8025563,311.9218859,16.4923315,3639.8844287,1088.4649891,-9060.159192,176.5815697,-19461.8919432,3.0,10966.0841461,30.2970439,-1.5198537
-44.6413804,1249546586455802860,1004.0366491,815.2414097,-1.3381123,3038.9723185,20432.0769178,5450.0016391,181.3797383,-1568.0808374,20.0,5599.3846028,5.0902136,1.3779282
-44.50108,1249546586455802422,99.4630045,580.3925941,8.9165843,464.197297,3871.4565015,416.0585856,319.9738062,-2720.5161926,3.0,3679.2031394,5.1134868,-1.7010845
-44.5044549,1249546586455802452,157713.0207668,452.2207578,265.2174412,47547.9225834,180469.6187004,36667.6379244,225.841285,-28671.6150022,3.0,109630.6365142,270.846896,-1.372781
-44.5748144,1249546586455802335,127.7009241,348.055772,0.2280001,595.5143663,2990.0764928,1007.3816347,131.0183653,-1577.3746752,7.0,1570.9476988,3.0680125,-0.8486681
-44.4787489,1249546586455802448,2.3694893,291.600709,-0.3848952,162.6874102,1738.733844,1424.6219751,164.1520638,1154.3373566,3.0,301.6137137,0.1643603,-1.1826181
-44.6078309,1249546586455802865,16.1253767,234.2504918,0.5313696,119.16206,57.2367732,-857.9474571,133.6330685,-1228.8920663,3.0,710.6497559,1.1848734,1.6774245
-44.6397044,1249546586455802863,55.2217249,226.1144162,0.6905374,795.3190583,792.4983396,-309.2054299,100.4050387,-1099.7228595,5.0,816.4481233,2.5778934,0.1135171
-44.6155489,1249546586455802867,100.7804177,340.191382,4.2424919,580.3854434,1087.2522219,-334.9564915,119.2191711,-2120.6854006,8.0,1253.4161266,2.6165661,-0.6180272
-44.4763122,1249546586455802374,144.3178996,460.8500763,4.7561604,2484.4519622,3627.8284794,57.9609602,228.8835384,-2456.0602388,4.0,3199.350958,5.9330604,0.1035258
-44.5037065,1249546586455802538,51196.233827,324.7677139,-133.2198078,12280.6574895,68952.5030413,-17934.2828444,176.4097586,-41926.0850175,3.0,60781.6142032,112.6113088,1.652845
-44.6456914,1249546586455802825,1367.1742251,800.7848075,-6.9095089,1834.8556908,18231.2734457,-2528.0542399,187.2228253,-14145.3929481,18.0,6196.9577014,4.2873602,2.2227557
-44.5039543,1249546586455802272,165.7827205,310.5842364,37.9995894,1895.870406,-6240.2432389,-8586.3166994,154.9002534,-11008.6411575,4.0,2329.5618705,6.9133531,0.0798286
-44.5833026,1249546586455802519,108.9559373,221.9843418,-1.5825884,336.1717541,1235.8929093,-404.5253996,97.8677746,-1330.0147297,5.0,1207.822585,3.6306432,0.5984521
-44.5038096,1249546586455802523,29220.1595069,353.1942231,-31.0228397,21075.0236117,34732.6208427,992.7535385,174.1158647,-34236.650211,4.0,33007.2477603,88.1485969,-0.5304089
-44.5153725,1249546586455802526,107.7644054,292.9782348,2.5529319,1460.8509971,1708.1140889,307.0465696,114.8050084,-2164.2338333,4.0,1868.3511337,4.8964046,0.1568716
-44.6070544,1249546586455802474,5554441.6687171,1146.2497201,-17.317728,334080.3521134,1155352.3737987,209570.6048434,173.4996441,-365146.573648,37.0,447228.1913487,320.4534071,0.261702
-44.5183639,1249546586455802317,117400.6712075,571.5084694,-210.837759,70333.7515785,286682.9368132,115888.579982,265.7849551,29144.189651,4.0,105971.3295874,155.5110552,0.1117266
-44.4880594,1249546586455802491,980249.0374906,724.5539018,-3186.6445687,41225.4331827,666311.5852383,31826.572381,255.8381037,-72712.9922212,3.0,415287.1512949,618.016375,-1.7128685
-44.5230909,1249546586455802304,3455.8044895,291.6951587,25.8362398,1835.7249261,-29111.9968833,-37090.2811129,143.0432524,-49072.6054864,4.0,8940.6811134,21.9594814,-1.7757467
-44.5788105,1249546586455802842,178.571039,310.5404621,2.6644179,605.0923797,1711.5889442,-560.0813168,136.1317425,-2275.8393299,5.0,2035.834406,5.4654962,0.5509003
-44.5331176,1249546586455802049,70.6721177,292.5078432,-1.0856314,339.1187408,2998.0769168,1795.9858424,65.1220257,646.7399318,20.0,556.836466,0.8353378,-0.0133167
-44.5010471,1249546586455801968,126441.8945929,775.0390681,6.1547437,2821.4774836,6898.7300624,-7492.6048907,120.532425,-222600.764557,41.0,35104.9435157,12.1716468,-6.3001776
-44.5045173,1249546586455802020,83037.6539383,340.8129654,36.1496367,16374.099373,81538.4056756,-328.6610973,125.641782,-44220.8320588,7.0,41295.9190199,97.4274527,0.5734579
-44.4881585,1249546586455801988,647305.1399538,542.5682171,124.6027614,83158.8399613,536444.6884263,55198.0044115,155.2947213,-59341.6839349,9.0,176450.7753118,225.7148263,1.461765
