decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.5906374,1248640588874515631,7714.7154589,312.9060542,-74.7118861,7649.4929335,28796.5837613,2478.8083621,178.1494106,-9932.6046572,3.0,20511.8349948,46.5781325
-44.6539432,1248640588874515601,63.4571788,170.3934501,-11.8599586,959.9023208,934.3837157,-54.2828166,120.4457797,-985.4209259,2.0,1357.5068807,7.2273113
-44.6370845,1248640588874515606,2.0191993,147.4075662,-0.7954546,148.4129537,1036.3040101,869.0797961,103.6013301,739.4781027,2.0,209.887612,0.9510375
-44.5109721,1248631792781493063,59.1695594,293.4067718,10.7902613,453.555955,1063.7068809,187.6973736,139.1418837,-1737.41666,4.0,1214.1563426,2.8035194
-44.6253651,1248640588874515664,2816.5658913,289.4782043,19.3484237,3303.9459851,9054.645118,-4926.0726843,163.0987076,-11366.5644851,3.0,10961.619212,27.6025681
-44.6058222,1248640588874515170,623923.8459739,628.7586198,-956.4648025,123778.4064871,669689.9270299,33956.59716,221.7101443,-116810.392765,7.0,267159.6579377,246.1558272
-44.6423146,1248640588874515643,0.2546527,307.5950062,-0.5337189,110.5003082,1653.0281482,1517.1358223,213.1126577,1432.0275317,2.0,156.2710346,-0.8624544
-44.6359108,1248640588874515645,44.31015,243.18255,-6.6081586,1186.6775518,1538.3522822,-252.2521345,153.4580278,-835.0028215,2.0,1678.215488,4.8472302
-44.589574,1248631792781493711,249.1088381,319.4543241,-53.7441121,3570.998907,11255.6228253,7279.7068881,224.7941989,4113.6250113,2.0,5050.1550854,14.3997303
-44.6194515,1248640588874515204,813.1400356,729.6683974,-8.279489,1828.8034916,3217.9309972,-3012.1226066,170.7812602,-19916.5601827,18.0,4873.0159102,3.7395108
-44.6057711,1248640588874515203,13152.3809171,454.664311,-3.1391451,9646.4383919,-12020.2248079,-39131.7000799,261.9273031,-78520.073774,3.0,35934.1851633,61.8124742
-44.6254728,1248640588874515523,29851.5399022,426.8716701,62.8819906,25515.034885,140722.5744025,77653.2170967,208.6553051,37800.6784916,4.0,42340.4595816,76.2368245
-44.523307,1248631792781493103,7.1073899,230.3519287,0.9307041,314.1664137,-342.8732491,-730.5448154,129.0254723,-1114.9883143,3.0,388.2823665,1.0433585
