decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.5783754,1252994654920508387,1043741.0062109,801.0628489,807.5668508,178368.2527642,656637.1032408,165657.5600644,286.2452909,-123759.6902866,6.0,307762.536303,422.0959418
-44.6434535,1252994654920508127,421.1434703,666.2823046,2.6991495,3775.3721039,15272.2463829,9196.1962919,220.7185948,2152.9022385,9.0,4701.1710618,6.0325322
-44.6448041,1252994654920508129,1574293.0533826,1044.3263909,83.2075087,221644.2010998,592303.5513041,152727.3874183,260.5194446,-352899.5742962,14.0,314490.8183863,290.9082831
-44.6295913,1252994654920508131,1218629.7707621,1094.8635075,0.3089933,44698.3331444,210566.5087955,-43810.7257966,265.7386101,-534796.8410623,16.0,263987.1865165,199.4817617
-44.6151408,1252994654920508110,3.2796193,244.532383,1.7994069,24.0917049,780.2632254,620.579051,139.5334622,188.8438344,3.0,334.7182919,0.0575661
-44.5318312,1252994654920508030,10.4718212,216.2624617,-1.8681154,24.6483755,1720.941955,1349.7275799,122.1735517,913.6418271,3.0,459.1450033,0.958291
-44.6076173,1252994654920508178,4.1942442,168.5948108,-1.4726785,59.0681591,525.7231344,213.6520339,96.9233415,59.6748145,3.0,253.746243,0.2090803
-44.6453208,1252994654920508153,35.2860999,203.3101541,1.0259567,385.834682,1558.6821523,947.5266163,76.0845682,225.9800782,7.0,501.23083,1.3159613
-44.6331194,1252994654920508133,63.4459732,315.3010918,3.9751055,556.0777977,1530.0623312,-94.9343875,99.0915611,-1267.124003,10.0,830.5038876,1.7932934
-44.6330674,1252994654920508135,529905.9210819,1089.2586949,0.5800006,6005.9136815,91767.0320953,-25715.7020651,297.4261047,-556401.3763298,13.0,180414.8972056,86.9856706
-44.6027664,1252994654920508137,65.7061891,334.6068196,8.0762735,914.5613027,-245.2585239,-1754.1115809,135.5235798,-2961.0972604,6.0,1207.5163092,2.8625036
-44.6426968,1252994654920508138,79011.6268354,906.827166,-171.4690388,88814.9199038,20939.4424764,-139209.9130461,520.6003402,-316982.552862,3.0,175182.6189831,159.2448833
-44.6486692,1252994654920508167,105.7087819,244.9629754,-2.87715,858.3490554,1277.3310896,117.1462392,91.0766402,-1326.1230335,7.0,1032.8051118,3.0200663
-44.6289244,1252994654920508162,134.061802,296.6128509,-2.2849613,519.4962931,1646.2955331,426.827863,92.8015552,-1985.142003,10.0,1039.6588238,2.0634464
-44.622847,1252994654920508171,655751.9435339,809.684198,32157.4558401,496973.1886351,867348.2552047,36449.0479133,454.5283869,-126598.1220655,2.0,702826.2235036,625.7701975
-44.6062119,1252994654920508173,12.481125,254.0040938,0.3993428,391.5600457,1764.6693021,1250.7082604,95.6337352,780.6032767,7.0,371.9359402,0.5308341
-44.6301408,1252994654920508158,8.8410066,209.9769586,2.5900048,441.5967348,451.4776741,-10.7295646,148.3547509,-431.7157955,2.0,624.5120914,2.1671968
-44.6386347,1252994654920508154,47.288748,250.8574148,-27.5850927,1223.6097762,-15834.242872,-16865.6452429,175.7271008,-18281.4624243,2.0,1730.4455405,5.7762778
