decl,diaObjectId,iPSFluxChi2,iPSFluxErrMean,iPSFluxMAD,iPSFluxMax,iPSFluxMean,iPSFluxMeanErr,iPSFluxMin,iPSFluxNData,iPSFluxSigma,iPSFluxStetsonJ
-44.4972534,1248666977153581289,159.5429786,580.0016361,-2.4549534,3050.3223987,-203.9611993,254.5001146,-3841.3821669,5.0,3526.5996058,5.1365627
-44.5126397,1248666977153581292,17.6262634,510.4358618,-11.0636659,-28633.4345613,-30003.4882899,359.6566261,-31667.6625049,2.0,2145.5231546,3.320534
-44.5319113,1248658181060561448,10.4118033,615.9918246,-75.8767446,-2907.9717473,-4210.1602882,434.6727567,-5720.8557589,2.0,1989.0093593,2.3869965
-44.5073247,1248666977153581081,363.1990965,733.3735458,-0.7753957,6085.0798186,1358.5476963,134.4349308,-3774.1967696,29.0,2493.3542906,2.2360057
-44.5462634,1248666977153581078,4849329.0969391,1676.9412245,-344.2076344,1161244.755679,299538.8576474,250.2297345,-505233.2777133,42.0,569595.274045,308.3262602
-44.5380131,1248666977153581077,9.34391,593.1835232,-4.7319396,-2800.8282943,-3848.7872202,413.9202358,-5376.4155432,2.0,1821.2152092,2.1081347
-44.5185933,1248666977153581076,2106717.1814668,1188.3214172,352.4694174,1541799.8389815,417912.7661627,320.5448057,-32719.8949125,10.0,543429.8559566,399.888611
-44.5245535,1248666977153581074,16024.8456554,1388.2045945,-27.0679819,14710.8296754,-4340.5238201,308.1291027,-163552.73183,20.0,37902.5281506,8.2232983
-44.5139417,1248666977153581073,28.3128034,571.9120837,2.3511598,745.1805526,-905.1539881,323.5548269,-2886.1974859,3.0,1993.6819106,2.1436623
-44.4924692,1248666977153581069,162.3870065,774.1310278,-0.8827229,1775.98683,-2247.3438455,160.70829,-6097.2821799,23.0,2115.4687942,1.8877539
-44.5203876,1248666977153581065,1199046.7651763,906.6823608,532.459717,463769.8207276,-54763.6776334,298.4457464,-412478.8186578,7.0,278362.6149222,306.2212813
-44.5086696,1248666977153581064,2531147.7122986,1108.238425,144.6899895,2758975.9557384,-68065.609942,320.5439857,-229995.9995666,7.0,1195940.8466218,385.8105801
-44.5520723,1248666977153581061,8.7404732,377.1440774,15.9657045,1703.5544797,1340.6629349,210.9971851,136.9946507,3.0,882.7238023,0.6111702
-44.5329462,1248666977153581059,85.4729142,804.7477189,4.956978,3026.1975665,-1138.8983059,378.8479914,-4874.2807995,4.0,3634.0569482,2.9931322
-44.5427675,1248666977153581057,7033687.1488468,1632.9637864,552.9179631,2676179.6106856,690142.7444063,282.0910701,-89888.67924,25.0,934818.6141313,455.4911444
-44.5432355,1248666977153581102,14183.497007,808.2850112,128.3420388,241766.0961556,161256.144889,564.6709792,105083.5231866,2.0,96649.1742164,109.2182834
-44.5139852,1248666977153581115,71.0692517,457.75385,145016.4325493,2080.1083143,-406.7988612,322.7051198,-3382.8053813,2.0,3862.8633192,7.4694712
-44.5184037,1248666977153581113,239119.5421711,895.547921,-67.1466321,645365.1489016,262917.9359876,320.84924,108440.2610455,7.0,197270.8141861,148.6972077
-44.5182748,1248666977153581108,169771.1933431,875.6777392,-71.1320059,498890.2728539,220368.5225225,371.4083814,41514.8478727,5.0,164401.359901,147.2639887
-44.5422556,1248666977153581105,29674.7141168,589.6500885,-13.8034755,30276.2282431,-82989.98523,324.807678,-120524.4878155,3.0,81010.6789557,89.2673206
-44.5082362,1248666977153581099,73.1121403,454.8990871,-0.1684584,1071.3797955,-1045.6685925,127.3643142,-2221.5530026,12.0,1162.9918193,1.7757477
-44.4972484,1248666977153581091,285.1028811,617.5062908,0.8801856,3925.2507034,-337.3541918,117.7912841,-4263.3640304,27.0,1926.3548751,1.9344859
-44.4787669,1248666977153581089,63.6249628,420.0334028,-2.8916254,2120.804443,992.5887247,234.8860176,-2476.6217362,3.0,2598.7472893,3.0202787
-44.478598,1248666977153581197,286.7081387,560.3782834,-1.1299523,3868.3308851,-1692.8920244,127.1818195,-4504.7473486,19.0,2140.0568423,2.6682561
-44.5215884,1248666977153581190,416.4790032,965.8811005,-4.0315767,6863.8016259,-182.9748017,178.5245137,-8809.5254702,29.0,3676.101079,2.6237931
-44.5327534,1248666977153581186,62.6587029,891.2700919,1.5106663,5483.8096094,-2139.5274325,388.9043796,-3929.7941025,5.0,3954.2205378,1.603836
-44.5121069,1248666977153581185,6693.8682239,501.8347109,-3.4632035,-40006.1783498,-64304.5984054,222.4409498,-80949.9655844,5.0,20196.8097642,34.322029
-44.5244494,1248666977153581180,104.0381506,478.3838145,1.0435241,1639.29278,-642.7621788,138.2664397,-3192.0610297,11.0,1466.3246483,1.7498777
-44.5575564,1248666977153581207,211.8701863,974.4766923,0.1990792,7305.1873224,2152.9259218,183.1983442,-3876.9091192,28.0,2670.1926094,1.6407067
