decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.6116892,1249511402083714091,3.8520868,543.8291363,3.963828,757.1626505,4732.855735,4096.4279732,380.8451601,3218.530434,2.0,1070.7896893,1.3851941
-44.592269,1249511402083714231,35969.434266,527.4072222,-944.1721938,71448.6322863,270498.9310284,179024.6182682,361.6273554,127601.6664559,2.0,101043.6247922,167.1114238
-44.59292,1249511402083714089,64841.5460199,547.5869883,-601.7971858,15775.586559,319259.5629684,163438.1655096,303.2170761,118061.0849991,3.0,111886.3600023,123.970134
-44.5890782,1249511402083714127,86.578415,235.1309483,1.2128272,321.3298965,1241.1171333,-592.9019432,112.5992979,-1517.8460017,4.0,1287.818523,3.8000142
-44.5941974,1249511402083714129,7.4405152,191.8759503,-2.5191017,374.1509069,-774.0161489,-1039.4063026,131.242576,-1522.3179627,2.0,529.129287,1.7204846
-44.5924292,1249511402083714105,24107.0803356,333.8104151,186.3017627,8239.2082168,47634.0142645,22823.965814,165.2813935,-13413.8823789,4.0,27763.5716785,66.5602664
-44.4821717,1249511402083714697,2820.1588946,120.100007,-0.1084796,4535.3116275,-3070.3649178,-6651.7872372,83.4921305,-12140.9881728,2.0,6413.8992132,47.7551156
-44.6115492,1249511402083714182,140.7503238,633.3052972,-45.8487486,5321.7743995,7017.6477191,1078.7823044,445.5456842,-3625.9010799,2.0,7526.1255317,10.6548606
-44.5974999,1249511402083714060,67.3697094,527.3656341,-14.9239198,554.2729535,2272.1215671,-460.2459706,297.0081651,-2941.4960592,3.0,2863.5211437,3.8663903
-44.5553636,1249511402083714063,128.3744934,745.8834138,26.8680604,774.0413717,5679.2913881,1074.6241533,338.9299407,-2691.8496201,4.0,3876.1896816,4.3939883
-44.5262906,1249511402083714076,53.551623,337.4079873,51.4518116,1746.4810664,1876.5485608,217.8262904,238.3573689,-1616.413572,2.0,2469.8972105,6.5127977
-44.5421024,1248666977153581219,36746.9724216,489.4522424,-29.192083,31462.9714053,75444.665206,-1774.3918807,242.975953,-59998.9143927,4.0,55432.4954365,79.7848861
-44.5379424,1248666977153581225,182.8724315,576.76421,3.7669175,2625.0244773,4437.6390435,-209.5891731,202.4935107,-3076.4535447,8.0,2901.9860853,4.3811509
-44.4974405,1248666977153581353,20.8787826,217.6033437,0.9937995,589.2831897,275.158476,-459.4607626,124.2507162,-1074.9139121,3.0,676.8493598,2.2467986
-44.5378982,1248666977153581316,126.5159677,402.9187873,1.4489726,898.3835324,2038.4083707,-207.2047622,126.510173,-2357.9836453,10.0,1446.3179243,2.5354914
-44.5428194,1248666977153581332,2995776.0688731,1101.5291669,-557.3396615,236234.4143981,1987708.3350274,465976.0410476,234.1402179,32145.6393675,19.0,552680.3714976,317.9006813
-44.5574386,1248666977153581333,3.9070172,491.7157952,-25.6874608,691.9258962,3182.3298551,2649.7405598,340.6475758,1798.4780628,2.0,978.5309865,1.111886
-44.537896,1248666977153581379,56.7066261,322.8429543,-3.3134964,1724.6024124,1607.2742306,157.8762702,226.0845818,-1841.9305943,2.0,2438.9561214,6.3856236
-44.5943564,1248666977153581389,289.4291392,791.6999899,-3.4143238,1519.6907229,923.122361,-3258.7881989,141.6516008,-11939.7810072,31.0,2480.4089202,1.6600642
-44.4786662,1248666977153581359,77.2490439,272.9639982,2.2580646,61.5994537,1625.9546251,300.7528153,152.3832095,-1083.9495306,3.0,1547.088277,4.2452732
-44.5421683,1248666977153581315,3054.6297096,438.8822631,14.0910041,10257.998131,2791.9061047,-10339.0851531,219.362119,-25820.1058234,4.0,14014.3279893,30.40621
-44.5142937,1248666977153581370,103.5093114,386.4775442,3.5896002,387.7687385,2888.3350761,585.0168931,175.4653904,-1158.9298971,4.0,1809.5566817,3.8320805
-44.5262887,1248666977153581268,271.4110087,402.9887958,-0.0090655,727.5028511,3124.4817796,1287.713752,86.8954764,-1987.245221,21.0,1420.4655867,2.0980216
-44.5088032,1248666977153581272,606385.2131037,684.2311561,-242.1688491,218185.6614,332184.9963264,24562.7859377,246.7328465,-181604.0345131,7.0,217819.0683131,303.5442089
-44.5141124,1248666977153581244,91.501288,455.4283816,-4.3516845,1598.1196452,2633.8549902,-1210.5415826,260.724224,-3604.9105918,3.0,3240.6732093,4.9001289
-44.5121637,1248666977153581247,70.8685663,358.963905,183365.3572822,2137.4901805,-32544.5513035,-34572.9587258,253.5776856,-36819.5316646,2.0,3022.8676028,7.5985946
-44.4925449,1248666977153581294,74.0957421,554.4205056,1.782068,1257.0425406,1032.9229515,-2089.4275884,208.1524073,-4978.731292,7.0,1977.3508948,2.3157417
-44.6031247,1248666977153581295,2994503.0303591,1174.0915655,108.5938084,256148.1398059,1646682.8085874,593165.2212052,215.8509122,226167.5345432,26.0,469197.4582195,290.1398567
-44.5083024,1248666977153581297,107.2967588,178.4367518,-0.0889664,278.6593038,1395.1453577,393.8400673,102.2997423,-905.9278163,3.0,1255.8361505,5.2614295
-44.5420313,1248666977153581273,4266.711792,401.5759743,-1.2902156,3740.1974675,-92561.1406624,-104299.9753255,177.2218184,-121539.9653932,5.0,12332.3791843,26.9281037
-44.5124545,1248666977153581285,41803.2439721,430.3394799,-1.2888978,40979.0629854,119574.9146767,52782.8340369,209.3423103,7829.5141564,4.0,50871.4356717,104.2858839
-44.4972534,1248666977153581289,80.6375361,227.0830717,-1.0228005,184.6247608,1356.0176132,517.4525338,111.6915492,-1107.3413528,4.0,1144.2782613,2.6517821
-44.5126397,1248666977153581292,3519.2486705,393.7702749,23.7304776,16518.1017374,43016.63109,26307.9340745,278.4237294,9980.4276151,2.0,23360.1235017,58.4655263
-44.583623,1248658181060561445,0.0729828,166.7134453,-4366.0602698,31.8809771,1005.0477642,970.2190427,117.505135,941.2858099,2.0,45.0865102,-0.9628103
-44.6576648,1248658181060561405,22851.0031455,328.1123976,-35607.297471,35383.4699778,16080.4818923,-28589.8629512,225.8650017,-54686.4580633,2.0,50039.7831264,134.0322111
-44.5778797,1248658181060561442,0.0169822,254.5263006,1.0633943,23.4555078,1366.5561899,1342.5510751,179.9402095,1319.6451744,2.0,33.1710972,-0.9914725
-44.5462138,1248666977153581084,26353.4156846,981.345756,-1252.2672833,31226.1241831,431975.200588,317103.8719647,399.4393985,217067.8804071,6.0,71165.7260969,55.3362767
-44.5073247,1248666977153581081,280.7319947,496.5511834,1.0218445,1108.302514,165.9412247,-2266.7836256,79.0498452,-4960.0807607,39.0,1369.4034927,1.8121143
-44.5462634,1248666977153581078,5824112.0475379,1273.4920802,-187.9933331,517747.8875374,1378462.3982454,590323.2010001,188.5369652,-29897.9506623,38.0,478228.8277692,352.1303428
-44.5185933,1248666977153581076,300749.6492416,765.1533651,-380.0902576,78846.4906863,491017.889694,297963.5150338,322.9482438,79662.5464325,5.0,169092.9189349,197.4135464
-44.5245535,1248666977153581074,1413142.4381006,1095.83719,-130.4353439,10066.7531892,106675.743407,614.4075281,149.2777115,-429995.6330432,52.0,141515.753488,71.3182325
-44.5139417,1248666977153581073,110.2413309,419.0854973,0.1796206,602.1912589,2810.9483269,1276.3211215,83.2346867,-436.3811023,25.0,898.5346543,1.1534322
-44.4924692,1248666977153581069,233.6703385,560.8390941,0.8416517,899.4962621,1617.9064975,-1930.6083667,95.5280831,-4972.0613629,34.0,1506.0783808,1.6034144
-44.5129786,1248666977153581066,24041.5603557,518.8274241,-208.463447,39573.6957856,183476.6097699,126634.5027833,296.7339026,74355.9480782,3.0,55242.1588296,89.6730844
-44.5203876,1248666977153581065,361412.9583264,577.5280802,9.6412256,102381.6234775,211476.8057374,34611.3046616,196.4812249,-110148.4631838,8.0,128684.8201497,198.5063116
-44.5086696,1248666977153581064,177907.7213996,543.1245266,-99.8020157,73331.9631625,76474.9747543,-106106.0596382,199.8541884,-200954.8489028,7.0,98983.4635668,140.1282047
-44.5070112,1248666977153581063,28.9260766,234.8794092,0.0720394,158.1435553,1699.2491392,1258.7712943,56.2295671,267.9919546,17.0,342.7559373,0.0713987
-44.5520723,1248666977153581061,87.5871202,251.2977143,-1.4214639,274.0484653,1562.3493305,849.2776856,93.1779366,-1306.1813856,7.0,992.2987725,1.5758836
-44.5478943,1248666977153581060,31.574542,292.2787838,0.1131052,205.1780343,2420.9332821,1686.4153761,83.8890154,635.7351318,12.0,484.727996,0.3082608
-44.5329462,1248666977153581059,3.0329909,646.9168941,-6.3493033,848.2670857,-1778.764773,-2079.7336083,372.1348117,-3475.2989444,2.0,1199.6308171,0.7029785
-44.5427675,1248666977153581057,5423004.1305299,1180.4460384,129.8673343,596647.5007274,1961271.0172187,464959.0966583,234.7516904,-93660.6407983,20.0,657700.920178,456.9509878
-44.5139852,1248666977153581115,3.8607404,290.5749208,-0.7635125,254.1795874,-1059.6574615,-1355.6374897,158.5751123,-1811.7383795,3.0,382.5656163,0.5959293
-44.5184037,1248666977153581113,543605.1967282,513.3067854,-75.6792569,116006.2885208,314427.3203589,19302.1624827,164.2591475,-77593.3681423,8.0,154107.0739527,241.3761694
-44.5182748,1248666977153581108,549446.6147429,649.5766147,-36.3131575,77249.4285099,478040.4732764,191666.5640091,193.7849011,-23411.8089074,10.0,140199.8025359,195.5575302
-44.5082362,1248666977153581099,7.3021725,225.3379994,17.6972047,441.1938886,1.0312204,-627.987456,147.7347129,-881.3565568,2.0,623.9423809,1.6104348
-44.4972484,1248666977153581091,71.2947735,257.283,0.0949176,258.9784749,1083.7934806,-29.725063,55.5661141,-795.1252383,21.0,447.0036961,0.5310906
-44.4787669,1248666977153581089,2.1657671,277.383461,-1.038711,289.1642657,-1648.1274113,-1971.70914,195.0924628,-2226.4559428,2.0,408.9400264,1.0252683
-44.478598,1248666977153581197,164.7943764,326.2786367,-0.0465407,688.1864257,2493.8496939,-126.1526525,83.1516051,-1432.8216164,15.0,1028.0822432,2.0549172
