decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.2955546,1248710957618692585,91.2981371,318.0899208,1.5505921,728.1850627,624.3582423,-945.0277976,87.7452088,-2226.1002872,13.0,883.0386448,2.0554217
-44.3869384,1248710957618692582,84.6144165,225.5086416,0.1600836,232.5271026,1896.4670771,897.3864606,59.0674921,-234.8955609,14.0,589.2932166,1.2131757
-44.2883911,1248710957618692766,877.6692333,565.9899728,17579468.1024757,11857.3713862,121411.1229987,109278.5624269,400.1344953,97696.3802264,2.0,16768.8554284,28.7517886
-44.2395847,1248710957618692764,11951.966398,306.4086394,-10.2610256,16259.2479406,32161.2134205,11961.1694253,151.6278786,-4589.8148192,4.0,19153.3111893,60.2145248
-44.2771204,1248710957618692796,20.9434762,461.0222478,0.9356525,762.3432957,-1630.6857435,-2801.5155856,229.3493599,-4461.1065292,4.0,1208.1538341,1.7050186
-44.2903601,1248710957618692795,403956.5551501,647.6214891,6719.9842177,297958.3747964,433607.2580344,11062.0504009,425.8514851,-162309.4915584,2.0,421376.7746597,533.2129285
-44.2383766,1248710957618692716,7.6987844,130.3382295,-1.0216828,257.3362214,711.6111993,511.4725099,90.4249083,196.9387565,2.0,363.9283744,1.814412
-44.3674987,1248710957618692712,150.6135008,203.2226504,-0.7222699,389.6164995,579.5142549,-587.5087595,64.0416846,-1605.6208057,10.0,814.7796517,2.7232464
-44.3238664,1248710957618692692,35.7291646,199.4771902,-1.4133464,250.9483525,1163.8203392,8.2069994,98.0920064,-590.4359126,4.0,755.492591,1.7556458
-44.3122178,1248710957618692689,38.5060263,165.7915938,0.030716,251.185887,277.0949745,-99.1264647,49.5171181,-545.3761286,11.0,324.9607668,1.0652671
-44.3312957,1248710957618692688,21.5462493,132.7548946,-2.0856473,436.7884461,254.7381667,-242.5695949,93.1914509,-618.8387254,2.0,617.7121443,3.685545
-44.3081501,1248710957618692687,5.4530582,129.8570826,0.1027256,113.4120583,303.087843,64.1270249,63.6807791,-130.872616,4.0,177.8246978,0.3159109
