galaxy,name,ra,dec,vmag,errvmag,bmag,errbmag,rmag,errrmag,imag,errimag,per_fo,per_fu,dominant_mode,ampv,err_ampv,ampb,err_ampb,ampr,err_ampr,ampi,err_ampi,ampv_sec,err_ampv_sec,ampb_sec,err_ampb_sec
F,D209897,39.732417,-34.852056,21.533,0.03,21.884,0.025,21.262,0.134,21.125,0.085,0.372926,0.50105805,1,0.32,0.03,0.38,0.04,NaN,NaN,NaN,NaN,0.17,0.04,0.26,0.05
F,D229876,39.760583,-34.489417,21.495,0.033,21.749,0.029,21.21,0.049,20.942,0.12,0.380269,0.51024161,1,0.37,0.05,0.42,0.04,0.36,0.07,0.44,0.13,0.22,0.04,0.39,0.03
F,D255756,39.794042,-34.860889,21.355,0.024,21.547,0.023,21.158,0.045,20.991,0.046,0.394805,0.52892004,1,0.51,0.04,0.66,0.05,0.35,0.08,NaN,NaN,0.12,0.03,0.16,0.02
F,D266899,39.808875,-34.811472,21.218,0.025,21.571,0.023,21.08,0.145,20.796,0.087,0.409147,0.54827,1,0.63,0.05,0.52,0.04,NaN,NaN,NaN,NaN,0.14,0.02,0.37,0.03
F,D299386,39.853208,-34.80225,21.368,0.028,21.703,0.023,21.173,0.215,21.002,0.148,0.38167015,0.46754391,1,0.41,0.04,0.49,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,D332389,39.901375,-34.152556,21.41,0.029,21.795,0.027,21.188,0.199,20.931,0.082,0.406427,0.31746207,1,0.41,0.05,0.28,0.03,NaN,NaN,NaN,NaN,NaN,NaN,0.23,0.03
F,D385412,39.968333,-34.598278,21.305,0.065,21.596,0.036,21.068,0.025,20.692,0.133,0.388272,0.52105,1,0.38,0.07,0.55,0.04,0.32,0.03,NaN,NaN,0.28,0.06,0.32,0.03
F,D403200,39.989292,-34.7795,21.367,0.029,21.623,0.022,21.079,0.175,20.935,0.114,0.4267941,0.36054907,1,0.23,0.04,0.43,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,D424394,40.014917,-34.783222,21.323,0.023,21.661,0.028,21.124,0.044,20.778,0.062,0.3667937,NaN,1,0.44,0.05,0.55,0.05,0.42,0.07,NaN,NaN,NaN,NaN,NaN,NaN
F,D425199,40.015833,-34.809556,21.422,0.022,21.72,0.022,21.152,0.182,21.016,0.037,0.37955971,0.50959744,1,0.35,0.04,0.38,0.03,NaN,NaN,NaN,NaN,0.25,0.03,0.19,0.03
F,D597798,40.304042,-34.586556,21.416,0.071,21.726,0.065,21.178,0.046,20.995,0.087,0.369059,0.49573824,1,0.35,0.07,0.41,0.06,0.25,0.06,0.24,0.11,0.29,0.07,0.29,0.06
F,D606444,40.323125,-34.228306,21.497,0.075,21.818,0.042,21.006,0.079,20.847,0.101,0.367449,0.491223,1,0.45,0.07,0.5,0.06,NaN,NaN,NaN,NaN,0.31,0.07,0.39,0.04
F,D613363,40.340125,-34.310389,21.377,0.073,21.68,0.067,21.225,0.186,20.86,0.106,0.39600951,0.5172849,1,0.41,0.08,0.59,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,D636804,40.40725,-34.255528,21.23,0.064,21.526,0.066,21.038,0.023,20.771,0.136,0.4102121,0.55074339,1,0.52,0.07,0.76,0.1,NaN,NaN,NaN,NaN,0.24,0.06,0.35,0.03
F,D667139,40.525083,-34.176028,21.336,0.072,21.569,0.071,NaN,NaN,NaN,NaN,0.34995409,0.46911272,1,0.42,0.07,0.59,0.08,NaN,NaN,NaN,NaN,0.23,0.07,0.27,0.08
F,D678160,40.579542,-34.425806,21.251,0.056,21.56,0.061,NaN,NaN,NaN,NaN,0.371955,0.318879,1,0.44,0.05,0.55,0.06,NaN,NaN,NaN,NaN,0.17,0.06,0.26,0.05
F,FBWJ126,39.717417,-34.382417,21.388,0.038,21.645,0.025,21.209,0.051,20.913,0.075,0.377945,0.507198,1,0.52,0.04,0.58,0.03,0.32,0.07,NaN,NaN,0.27,0.04,0.31,0.03
F,FBWJ147,39.750625,-34.702306,21.414,0.043,21.659,0.025,21.213,0.017,20.947,0.055,0.404827,0.54304,1,0.29,0.04,0.48,0.04,0.37,0.04,NaN,NaN,0.34,0.04,0.38,0.03
F,FBWJ163,39.776708,-34.702,21.399,0.054,21.675,0.025,21.161,0.05,20.912,0.083,0.386061,0.517695,1,0.47,0.06,0.61,0.04,0.47,0.08,NaN,NaN,0.24,0.05,0.23,0.03
F,FBWJ183,39.806625,-34.405889,21.38,0.043,21.623,0.026,21.141,0.054,20.925,0.116,0.396022,0.53064,1,0.37,0.05,0.61,0.04,0.3,0.06,NaN,NaN,0.22,0.05,0.26,0.03
F,FBWJ186,39.811833,-34.810944,21.347,0.025,21.612,0.024,21.299,0.1,21.047,0.064,0.375972,0.50488135,1,0.64,0.06,0.79,0.06,NaN,NaN,NaN,NaN,0.15,0.03,0.21,0.03
F,FBWJ20,39.49875,-34.595972,21.19,0.016,21.525,0.04,NaN,NaN,NaN,NaN,0.41229921,0.34802007,1,0.51,0.05,0.67,0.11,NaN,NaN,NaN,NaN,0.32,0.04,NaN,NaN
F,FBWJ204,39.842167,-34.335944,21.375,0.046,21.645,0.026,21.119,0.049,20.97,0.105,0.37935,0.508652,1,0.51,0.05,0.55,0.04,0.4,0.07,NaN,NaN,0.19,0.04,0.32,0.03
F,FBWJ305,40.084708,-34.705361,21.218,0.041,21.584,0.024,20.945,0.037,20.576,0.073,0.409906,0.54876353,1,0.38,0.04,0.58,0.04,0.33,0.05,NaN,NaN,NaN,NaN,0.16,0.02
F,FBWJ306,40.086458,-34.900028,21.288,0.026,21.577,0.024,21.066,0.04,20.838,0.079,0.38647075,0.52130098,1,0.46,0.05,0.38,0.04,0.62,0.18,NaN,NaN,NaN,NaN,0.14,0.02
F,FBWJ338,40.201042,-34.820028,21.37,0.03,21.54,0.024,21.208,0.134,21.065,0.043,0.36011565,0.44621128,1,0.51,0.06,0.69,0.07,NaN,NaN,NaN,NaN,0.28,0.04,0.29,0.03
F,FBWJ364,39.92175,-34.323889,21.276,0.061,21.665,0.035,21.088,0.036,20.773,0.085,0.406685,0.544996,1,0.38,0.06,0.42,0.04,0.31,0.05,NaN,NaN,0.15,0.06,0.25,0.04
F,FBWJ403,40.01925,-34.318833,21.403,0.074,21.713,0.04,21.207,0.036,20.907,0.088,0.401993,0.538724,1,0.39,0.08,0.47,0.04,0.37,0.07,0.32,0.1,NaN,NaN,0.24,0.05
F,FBWJ417,40.057292,-34.631472,21.461,0.059,21.681,0.026,21.268,0.059,20.888,0.103,0.374923,NaN,1,0.46,0.07,0.54,0.04,0.42,0.07,0.32,0.12,NaN,NaN,NaN,NaN
F,FBWJ457,40.140875,-34.632778,21.327,0.05,21.633,0.028,21.121,0.045,20.841,0.058,0.543972,0.385062,0,0.35,0.04,0.56,0.04,NaN,NaN,NaN,NaN,NaN,NaN,0.33,0.03
F,FBWJ458,40.141333,-34.592806,21.411,0.068,21.741,0.039,21.15,0.145,20.937,0.096,0.36612284,0.49146084,1,0.39,0.08,0.33,0.04,NaN,NaN,NaN,NaN,0.27,0.06,0.29,0.04
F,FBWJ460,40.1465,-34.374444,21.246,0.06,21.554,0.027,21.101,0.151,20.808,0.078,0.409558,0.548637,1,0.45,0.07,0.51,0.03,NaN,NaN,0.44,0.08,0.17,0.06,0.22,0.03
F,FBWJ541,40.209208,-34.7265,20.81,0.03,21.195,0.017,20.507,0.03,20.347,0.078,0.52689212,0.70601409,1,0.42,0.05,0.43,0.03,0.46,0.1,NaN,NaN,0.14,0.03,0.2,0.02
S,V356,,,,,,,,,,,0.3598143,0.48360602,1,0.28,0.03,0.45,0.04,NaN,NaN,NaN,NaN,0.15,0.03,0.37,0.04
S,V426,,,,,,,,,,,0.3566144,0.47963309,1,0.38,0.04,0.52,0.04,NaN,NaN,NaN,NaN,0.15,0.03,0.18,0.02
S,V479,,,,,,,,,,,0.35190258,0.47304664,1,0.38,0.04,0.5,0.04,NaN,NaN,NaN,NaN,0.17,0.04,0.21,0.02
S,V103,,,,,,,,,,,0.3585436,0.48172476,1,0.43,0.04,0.45,0.04,NaN,NaN,NaN,NaN,0.17,0.02,0.15,0.02
S,V190,,,,,,,,,,,0.35373915,0.47528866,1,0.43,0.03,0.52,0.04,NaN,NaN,NaN,NaN,0.2,0.02,0.23,0.02
S,V266,,,,,,,,,,,0.37599339,0.5041171,1,0.45,0.04,0.47,0.04,NaN,NaN,NaN,NaN,0.12,0.03,0.23,0.03
S,V358,,,,,,,,,,,0.35983284,0.48360098,1,0.38,0.02,0.66,0.06,NaN,NaN,NaN,NaN,0.17,0.02,0.19,0.02
S,V429,,,,,,,,,,,0.3556095,0.47809086,1,0.45,0.04,0.55,0.06,NaN,NaN,NaN,NaN,0.15,0.03,0.14,0.02
