source_id,frequency,amplitude,is_cstar,ra,dec,bp_rp,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
5062217990316616320,,,True,39.98004181907049,-34.424002415783185,2.466705322265625,17.276906967163086,18.639209747314453,16.172504425048828
5062218024676353408,0.0015724163398183352,0.15645642578601837,False,39.99426705622715,-34.424429532258365,2.3043460845947266,17.237165451049805,18.454971313476562,16.150625228881836
5062218540072418560,0.0024013255968272263,0.212657168507576,True,40.02778962161231,-34.389517835968945,3.153810501098633,17.935863494873047,19.797780990600586,16.643970489501953
5062219192907449088,,,True,40.00392262253681,-34.37868282476731,2.345552444458008,17.318870544433594,18.566085815429688,16.22053337097168
5062219227267192192,,,True,39.97760770246053,-34.37851831755331,2.2715091705322266,17.430599212646484,18.643390655517578,16.37188148498535
5062219605224303232,,,True,40.005697889485205,-34.338593163730465,2.301870346069336,17.41370964050293,18.647172927856445,16.34530258178711
5062221357570924672,,,False,40.07938989380027,-34.31293075903283,2.420473098754883,17.41693687438965,18.727113723754883,16.306640625
5062228092079811200,,,False,40.362608013128174,-34.36875253541264,2.3436107635498047,17.52492904663086,18.77467918395996,16.431068420410156
5062230188023842816,,,False,40.44164770835014,-34.29102506190015,2.268918991088867,17.425012588500977,18.622169494628906,16.35325050354004
5062244889691477120,0.004101221154603407,0.6049390435218811,False,40.222196304068305,-34.20365916043136,2.3357810974121094,17.89914894104004,18.98169708251953,16.645915985107422
5062257332218453376,0.004919061067646675,0.1215057373046875,True,39.74291332552707,-34.53660538764293,2.318399429321289,17.573246002197266,18.800655364990234,16.482255935668945
5062266334468497536,0.006124455990776594,0.16627715528011322,True,39.91919458319663,-34.33746082357777,2.587320327758789,16.944231033325195,18.394298553466797,15.806978225708008
5062634086744473600,0.0018461711233794427,0.19301210343837738,False,40.64235619691927,-33.76603543664327,4.039372444152832,9.19480037689209,11.784485816955566,7.745113372802734
