FBW,o_Vmag,Vmag,e_Vmag,o_Icmag,Icmag,e_Icmag,WS,Period,E(B-V),_RA,_DE
J023942.1-342712,14,21.707,0.04,14,21.024,0.076,1.102,0.60813,0.022,39.9254,-34.4533
J023943.3-342738,32,21.786,0.026,32,20.928,0.04,1.658,0.56517,0.022,39.9304,-34.4606
J023944.6-342514,30,21.503,0.022,30,20.894,0.035,2.643,0.57117,0.023,39.9358,-34.4206
J023945.7-342522,32,21.491,0.025,33,21.184,0.039,1.571,0.66012,0.023,39.9404,-34.4228
J023945.7-343326,24,21.414,0.026,24,20.765,0.039,1.431,0.62272,0.024,39.9404,-34.5572
J023946.2-341837,31,21.443,0.023,31,20.787,0.033,1.92,0.61924,0.024,39.9425,-34.3103
J023946.6-342951,33,21.405,0.022,33,20.81,0.032,1.923,0.55497,0.023,39.9442,-34.4975
J023947.1-343455,31,21.389,0.024,30,20.743,0.034,1.193,0.55355,0.024,39.9462,-34.5819
J023948.5-342101,32,21.547,0.023,32,21.065,0.038,1.13,0.51959,0.022,39.9521,-34.3503
J023949.6-342358,32,21.203,0.019,32,20.621,0.029,1.589,0.33563,0.022,39.9567,-34.3994
J023949.6-342939,32,21.42,0.025,32,21.125,0.038,1.803,0.59366,0.022,39.9567,-34.4942
J023950.3-342320,33,21.416,0.019,33,20.818,0.031,1.814,0.37304,0.022,39.9596,-34.3889
J023951.3-342019,33,21.44,0.021,33,20.984,0.032,1.738,0.5765,0.022,39.9637,-34.3386
J023951.3-343308,33,21.318,0.021,33,20.839,0.032,2.03,0.58067,0.024,39.9637,-34.5522
J023954.7-343623,34,21.495,0.022,34,20.897,0.034,1.615,0.6034,0.025,39.9779,-34.6064
J023955.0-343301,14,21.304,0.024,14,20.638,0.046,2.167,0.62293,0.024,39.9792,-34.5503
J023955.3-342007,33,21.232,0.02,33,20.734,0.029,1.628,0.39335,0.022,39.9804,-34.3353
J023955.4-342317,34,21.53,0.022,34,20.907,0.033,2.918,0.61668,0.022,39.9808,-34.3881
J023956.1-342632,32,21.674,0.024,32,21.052,0.04,1.752,0.54987,0.02,39.9837,-34.4422
J023956.7-343451,32,21.923,0.029,32,20.939,0.04,2.819,0.63786,0.024,39.9862,-34.5808
J023956.9-343759,15,21.605,0.028,11,20.79,0.06,0.937,0.55008,0.025,39.9871,-34.6331
J023957.2-342454,32,21.423,0.024,32,20.989,0.039,1.387,0.56954,0.021,39.9883,-34.415
J023958.2-343207,31,21.342,0.026,31,20.364,0.033,2.489,0.45813,0.023,39.9925,-34.5353
J023958.5-342722,15,21.297,0.027,14,20.695,0.054,1.387,0.65118,0.02,39.9937,-34.4561
J023959.1-342525,32,21.178,0.02,32,20.615,0.03,2.505,0.29907,0.02,39.9962,-34.4236
J023959.2-342930,34,25.161,0.009,34,18.383,0.036,2.352,0.52011,0.021,39.9967,-34.4917
J023959.6-342835,14,21.234,0.027,14,20.458,0.047,1.556,0.59585,0.02,39.9983,-34.4764
J023959.6-342911,31,21.118,0.02,31,20.342,0.024,2.178,0.55411,0.021,39.9983,-34.4864
J023959.9-342234,32,21.615,0.027,32,21.002,0.041,3.671,0.58433,0.021,39.9996,-34.3761
J024001.6-342717,33,21.529,0.026,33,20.755,0.034,1.707,0.62477,0.02,40.0067,-34.4547
J024001.8-342715,33,22.113,0.022,33,25.345,0.035,3.276,0.58848,0.02,40.0075,-34.4542
J024002.3-342017,14,21.431,0.028,14,21.049,0.062,1.686,0.5791,0.022,40.0096,-34.3381
J024002.6-343243,33,21.322,0.021,33,20.773,0.033,1.781,0.60011,0.023,40.0108,-34.5453
J024003.0-343144,14,21.546,0.033,14,20.84,0.061,1.068,0.61522,0.023,40.0125,-34.5289
J024003.4-342427,33,21.581,0.024,33,21.066,0.038,1.888,0.52811,0.021,40.0142,-34.4075
J024004.5-341907,32,21.436,0.023,32,21.014,0.035,1.081,0.45653,0.021,40.0187,-34.3186
J024004.5-343658,14,21.686,0.031,14,20.883,0.059,1.401,0.55304,0.025,40.0187,-34.6161
J024004.7-342628,34,21.484,0.022,34,21.003,0.032,4.408,0.35023,0.02,40.0196,-34.4411
J024005.0-341934,34,21.319,0.019,33,20.485,0.026,2.619,0.5973,0.021,40.0208,-34.3261
J024005.2-342233,32,21.214,0.018,32,21.393,0.039,0.985,0.35402,0.02,40.0217,-34.3758
J024006.8-342331,32,21.326,0.021,32,20.882,0.035,0.972,0.52506,0.02,40.0283,-34.3919
J024010.2-343033,14,21.451,0.033,14,20.838,0.061,1.742,0.53294,0.021,40.0425,-34.5092
J024011.5-343644,15,21.241,0.021,15,20.827,0.051,2.602,0.55115,0.025,40.0479,-34.6122
J024011.6-342004,33,21.516,0.024,33,21.087,0.034,4.527,0.54071,0.021,40.0483,-34.3344
J024011.8-343114,33,21.569,0.026,33,20.808,0.035,3.15,0.61667,0.022,40.0492,-34.5206
J024012.4-343503,33,21.287,0.023,33,20.75,0.032,1.04,0.67662,0.025,40.0517,-34.5842
J024012.8-342834,30,21.314,0.022,32,21.423,0.042,5.245,0.55907,0.02,40.0533,-34.4761
J024013.5-343311,32,21.555,0.025,32,20.822,0.038,2.912,0.60289,0.024,40.0562,-34.5531
J024013.6-342723,33,21.461,0.023,33,21.151,0.037,2.466,0.56421,0.02,40.0567,-34.4564
J024013.7-343753,14,21.383,0.027,14,20.914,0.056,1.147,0.59854,0.025,40.0571,-34.6314
J024014.7-342041,33,21.56,0.021,33,20.74,0.031,0.968,0.38146,0.021,40.0612,-34.3447
J024014.9-342046,34,21.345,0.023,34,20.94,0.034,1.285,0.54185,0.021,40.0621,-34.3461
